"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"ABSAROKEE ELEM","Montana","3001710","STILLWATER COUNTY","30095","30","2","327 SOUTH WOODARD AVE","ABSAROKEE","MT ","59001","","327 S WOODARD AVE","ABSAROKEE","MT ","59001","","4063284581","1-Local school district","45.516300","-109.446400","0861","Prekindergarten","8th Grade","Montana","177"
"ABSAROKEE H S","Montana","3001740","STILLWATER COUNTY","30095","30","1","327 SOUTH WOODARD AVE","ABSAROKEE","MT ","59001","","327 S WOODARD AVE","ABSAROKEE","MT ","59001","","4063284583","1-Local school district","45.516300","-109.446400","0862","9th Grade","12th Grade","Montana","78"
"ALBERTON K-12 SCHOOLS","Montana","3001860","MINERAL COUNTY","30061","30","3","306 RAILROAD AVE","ALBERTON","MT ","59820","","PO BOX 330","ALBERTON","MT ","59820","","4067224413","1-Local school district","47.004500","-114.480900","0577","Prekindergarten","12th Grade","Montana","143"
"ALDER ELEM","Montana","3017460","MADISON COUNTY","30057","30","1","36 UPPER RUBY RIVER RD","ALDER","MT ","59710","","PO BOX 127","ALDER","MT ","59710","","4068425285","1-Local school district","45.319700","-112.109400","0536","Prekindergarten","8th Grade","Montana","11"
"ALZADA ELEM","Montana","3001950","CARTER COUNTY","30011","30","1","236 SPRING ST","ALZADA","MT ","59311","","BOX 8","ALZADA","MT ","59311","","4068284445","1-Local school district","45.020800","-104.413200","0096","Prekindergarten","8th Grade","Montana","3"
"AMSTERDAM ELEM","Montana","3001980","GALLATIN COUNTY","30031","30","1","6360 CAMP CREEK RD","MANHATTAN","MT ","59741","","6360 CAMP CREEK ROAD","MANHATTAN","MT ","59741","","4062827216","1-Local school district","45.754200","-111.321800","0376","Prekindergarten","6th Grade","Montana","165"
"ANACONDA ELEM","Montana","3002010","DEER LODGE COUNTY","30023","30","3","1410 WEST PARK AVE","ANACONDA","MT ","59711","","1410 WEST PARK AVE.","ANACONDA","MT ","59711","","4065636361","1-Local school district","46.132500","-112.971500","0236","Prekindergarten","8th Grade","Montana","738"
"ANACONDA H S","Montana","3002030","DEER LODGE COUNTY","30023","30","1","1410 WEST PARK AVE","ANACONDA","MT ","59711","","1410 WEST PARK AVE.","ANACONDA","MT ","59711","","4065636361","1-Local school district","46.132500","-112.971500","0237","9th Grade","12th Grade","Montana","314"
"ANDERSON ELEM","Montana","3002070","GALLATIN COUNTY","30031","30","2","10040 COTTONWOOD RD","BOZEMAN","MT ","59718","","10040 COTTONWOOD ROAD","BOZEMAN","MT ","59718","","4065871305","1-Local school district","45.598000","-111.104300","0366","Prekindergarten","8th Grade","Montana","204"
"ARLEE ELEM","Montana","3002220","LAKE COUNTY","30047","30","2","72220 FYANT ST","ARLEE","MT ","59821","","72220 FYANT STREET","ARLEE","MT ","59821","","4067263216","1-Local school district","47.164500","-114.083500","0474","Prekindergarten","8th Grade","Montana","343"
"ARLEE H S","Montana","3002250","LAKE COUNTY","30047","30","1","72220 FYANT ST","ARLEE","MT ","59821","","72220 FYANT STREET","ARLEE","MT ","59821","","4067263216","1-Local school district","47.164500","-114.083500","0475","9th Grade","12th Grade","Montana","113"
"ARROWHEAD ELEM","Montana","3002300","PARK COUNTY","30067","30","2","1489 EAST RIVER RD","LIVINGSTON","MT ","59047","","PO BOX 37","PRAY","MT ","59065","","4063334359","1-Local school district","45.395900","-110.672500","1215","Prekindergarten","8th Grade","Montana","37"
"ASHLAND ELEM","Montana","3000008","ROSEBUD COUNTY","30087","30","2","8 OLD MISSION RD","ASHLAND","MT ","59003","","BOX 17","ASHLAND","MT ","59003","","4067842568","1-Local school district","45.595500","-106.273600","0800","Prekindergarten","8th Grade","Montana","76"
"AUCHARD CREEK ELEM","Montana","3002490","LEWIS AND CLARK COUNTY","30049","30","1","9605 HWY 287","WOLF CREEK","MT ","59648","8637","9605 HWY 287","WOLF CREEK","MT ","59648","8637","4065623528","1-Local school district","47.198000","-112.095300","0498","Prekindergarten","8th Grade","Montana","10"
"AUGUSTA ELEM","Montana","3002430","LEWIS AND CLARK COUNTY","30049","30","2","410 BROADWAY","AUGUSTA","MT ","59410","","PO BOX 307","AUGUSTA","MT ","59410","","4065623384","1-Local school district","47.491600","-112.398200","0502","Prekindergarten","8th Grade","Montana","66"
"AUGUSTA H S","Montana","3002450","LEWIS AND CLARK COUNTY","30049","30","1","410 BROADWAY","AUGUSTA","MT ","59410","","PO BOX 307","AUGUSTA","MT ","59410","","4065623384","1-Local school district","47.491600","-112.398200","0503","9th Grade","12th Grade","Montana","26"
"AVON ELEM","Montana","3002550","POWELL COUNTY","30077","30","1","603 MAIN ST EAST","AVON","MT ","59713","","PO BOX 246","AVON","MT ","59713","","4064926191","1-Local school district","46.598500","-112.590700","0720","Prekindergarten","8th Grade","Montana","20"
"AYERS ELEM","Montana","3002570","FERGUS COUNTY","30027","30","1","106007 HWY 87 WEST (7 MILES WE","GRASS RANGE","MT ","59032","","BOX 100","GRASS RANGE","MT ","59032","","4064282340","1-Local school district","47.023800","-108.799800","1218","Prekindergarten","8th Grade","Montana","7"
"BAINVILLE K-12 SCHOOLS","Montana","3002640","ROOSEVELT COUNTY","30085","30","3","409 TUBMAN","BAINVILLE","MT ","59212","","BOX 177","BAINVILLE","MT ","59212","","4067692321","1-Local school district","48.139500","-104.225000","0785","Prekindergarten","12th Grade","Montana","167"
