"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"A.C.E. ACADEMY","North Carolina","3700372","CABARRUS COUNTY","37025","37","0","TBD","TBD","NC ","28075","","4365 SCHOOLHOUSE COMMONS SUITE","HARRISBURG","NC ","28075","","7042589213","7-Charter school agency","35.309500","-80.647800","13C","†","†","North Carolina","†"
"ALAMANCE-BURLINGTON SCHOOLS","North Carolina","3700030","ALAMANCE COUNTY","37001","37","36","1712 VAUGHN RD","BURLINGTON","NC ","27217","2916","1712 VAUGHN ROAD","BURLINGTON","NC ","27217","2916","3365706060","1-Local school district","36.101100","-79.408800","010","Prekindergarten","12th Grade","North Carolina","22615"
"ALEXANDER COUNTY SCHOOLS","North Carolina","3700090","ALEXANDER COUNTY","37003","37","10","700 LILEDOUN RD","TAYLORSVILLE","NC ","28681","0128","700 LILEDOUN ROAD","TAYLORSVILLE","NC ","28681","0128","8286327001","1-Local school district","35.912700","-81.189000","020","Prekindergarten","12th Grade","North Carolina","5290"
"ALLEGHANY COUNTY SCHOOLS","North Carolina","3700120","ALLEGHANY COUNTY","37005","37","4","85 PEACHTREE ST","SPARTA","NC ","28675","9210","85 PEACHTREE STREET","SPARTA","NC ","28675","9210","3363724345","1-Local school district","36.512100","-81.122400","030","Prekindergarten","12th Grade","North Carolina","1471"
"ALPHA ACADEMY","North Carolina","3700103","CUMBERLAND COUNTY","37051","37","1","907 HAY ST","FAYETTEVILLE","NC ","28305","5352","PO BOX 35476","FAYETTEVILLE","NC ","28303","0476","9102237711","7-Charter school agency","35.055800","-78.895600","26B","Kindergarten","8th Grade","North Carolina","594"
"AMERICAN RENAISSANCE SCHOOL","North Carolina","3700086","IREDELL COUNTY","37097","37","1","217 SOUTH CENTER ST","STATESVILLE","NC ","28677","","217 SOUTH CENTER STREET","STATESVILLE","NC ","28677","","7048786009","7-Charter school agency","35.783400","-80.887300","49B","Kindergarten","8th Grade","North Carolina","531"
"ANDERSON CREEK CLUB CHARTER SCHOOL","North Carolina","3700381","CUMBERLAND COUNTY","37051","37","0","TBD","TBD","NC ","28390","","125 WHISPERING PINES DRIVE","SPRING LAKE","NC ","28390","","9108142633","7-Charter school agency","35.210900","-78.947900","43C","†","†","North Carolina","†"
"ANSON COUNTY SCHOOLS","North Carolina","3700180","ANSON COUNTY","37007","37","11","320 CAMDEN RD","WADESBORO","NC ","28170","0719","320 CAMDEN ROAD","WADESBORO","NC ","28170","0719","7046944417","1-Local school district","34.963000","-80.080700","040","Prekindergarten","12th Grade","North Carolina","3590"
"ARAPAHOE CHARTER SCHOOL","North Carolina","3700038","PAMLICO COUNTY","37137","37","1","9005 NC HWY 306 SOUTH","ARAPAHOE","NC ","28510","0158","9005 NC HWY 306 S","ARAPAHOE","NC ","28510","0158","2522492599","7-Charter school agency","35.014400","-76.822800","69A","Kindergarten","9th Grade","North Carolina","425"
"ARISTOTLE PREPARATORY ACADEMY","North Carolina","3700350","MECKLENBURG COUNTY","37119","37","1","2461 ARTY AVE","CHARLOTTE","NC ","28208","","2461 ARTY AVE","CHARLOTTE","NC ","28208","","7044121086","7-Charter school agency","35.224600","-80.881900","60N","Kindergarten","3rd Grade","North Carolina","107"
