"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"ADAMS 128","North Dakota","3801680","WALSH COUNTY","38099","38","0","701 PARK ST","ADAMS","ND ","58210","0076","PO BOX 76","ADAMS","ND ","58210","0076","7019442745","1-Local school district","48.424500","-98.070700","50128","Kindergarten","12th Grade","North Dakota","†"
"ALEXANDER 2","North Dakota","3801760","MCKENZIE COUNTY","38053","38","2","601 DELANEY ST","ALEXANDER","ND ","58831","0066","PO BOX 66","ALEXANDER","ND ","58831","0066","7018283334","1-Local school district","47.842900","-103.639300","27002","Prekindergarten","12th Grade","North Dakota","161"
"ANAMOOSE 14","North Dakota","3801950","MCHENRY COUNTY","38049","38","1","706 3RD ST WEST","ANAMOOSE","ND ","58710","4109","706 3RD ST W","ANAMOOSE","ND ","58710","4109","7014653258","1-Local school district","47.882700","-100.245600","25014","Prekindergarten","6th Grade","North Dakota","101"
"APPLE CREEK 39","North Dakota","3802014","BURLEIGH COUNTY","38015","38","1","2000 93RD ST SE","BISMARCK","ND ","58504","3907","2000 93RD ST SE","BISMARCK","ND ","58504","3907","7012237349","1-Local school district","46.784100","-100.647700","08039","Prekindergarten","12th Grade","North Dakota","56"
"ASHLEY 9","North Dakota","3802170","MCINTOSH COUNTY","38051","38","2","703 WEST MAIN ST","ASHLEY","ND ","58413","7130","703 W MAIN ST","ASHLEY","ND ","58413","7130","7012883456","1-Local school district","46.034500","-99.381500","26009","Prekindergarten","12th Grade","North Dakota","134"
"BAKKER 10","North Dakota","3802240","EMMONS COUNTY","38029","38","1","880 96TH ST SE","HAGUE","ND ","58542","9327","880 96TH ST SE","HAGUE","ND ","58542","9327","7013367284","1-Local school district","46.029500","-100.195400","15010","Kindergarten","12th Grade","North Dakota","5"
"BARNES COUNTY NORTH 7","North Dakota","3800060","BARNES COUNTY","38003","38","2","2192 101ST AVE SE","WIMBLEDON","ND ","58492","0255","PO BOX 255","WIMBLEDON","ND ","58492","0255","7016466202","1-Local school district","47.096600","-98.361800","02007","Prekindergarten","12th Grade","North Dakota","294"
"BEACH 3","North Dakota","3802380","GOLDEN VALLEY COUNTY","38033","38","2","600 NORTH CENTRAL AVE","BEACH","ND ","58621","0368","PO BOX 368","BEACH","ND ","58621","0368","7018724161","1-Local school district","46.908900","-104.006400","17003","Prekindergarten","12th Grade","North Dakota","293"
"BELCOURT 7","North Dakota","3802530","ROLETTE COUNTY","38079","38","1","1215 WM HARDESTY ST","BELCOURT","ND ","58316","0440","PO BOX 440","BELCOURT","ND ","58316","0440","7014776471","1-Local school district","48.845300","-99.736800","40007","Prekindergarten","12th Grade","North Dakota","1762"
"BELFIELD 13","North Dakota","3806210","STARK COUNTY","38089","38","2","302 NE 3RD","BELFIELD","ND ","58622","0097","PO BOX 97","BELFIELD","ND ","58622","0097","7015754275","1-Local school district","46.888700","-103.201800","45013","Prekindergarten","12th Grade","North Dakota","226"
"BEULAH 27","North Dakota","3800032","MERCER COUNTY","38057","38","3","204 5TH ST NW","BEULAH","ND ","58523","6543","204 5TH ST NW","BEULAH","ND ","58523","6543","7018732261","1-Local school district","47.269100","-101.780400","29027","Prekindergarten","12th Grade","North Dakota","708"
"BILLINGS CO 1","North Dakota","3802840","BILLINGS COUNTY","38007","38","2","350 BROADWAY","MEDORA","ND ","58645","0307","PO BOX 307","MEDORA","ND ","58645","0307","7016234363","1-Local school district","46.913700","-103.523700","04001","Prekindergarten","12th Grade","North Dakota","88"
"BISMARCK 1","North Dakota","3800014","BURLEIGH COUNTY","38015","38","25","806 NORTH WASHINGTON ST","BISMARCK","ND ","58501","3623","806 N WASHINGTON ST","BISMARCK","ND ","58501","3623","7013234000","1-Local school district","46.813700","-100.796500","08001","Prekindergarten","12th Grade","North Dakota","12012"
"BISMARCK CAREER ACADEMY","North Dakota","3800398","BURLEIGH COUNTY","38015","38","1","1221 COLLEGE DR","BISMARCK","ND ","58501","5587","PO BOX 5587","BISMARCK","ND ","58506","5587","7013234340","4-Regional education services agency","46.821900","-100.811600","08508","†","†","North Dakota","†"
"BISMARCK SPECIAL ED UNIT","North Dakota","3880720","BURLEIGH COUNTY","38015","38","1","806 NORTH WASHINGTON ST","BISMARCK","ND ","58501","3623","806 N WASHINGTON ST","BISMARCK","ND ","58501","3623","7013234028","4-Regional education services agency","46.813700","-100.796500","08711","†","†","North Dakota","†"
"BISMARCK TECHNICAL CENTER","North Dakota","3880750","BURLEIGH COUNTY","38015","38","1","1200 COLLEGE DR","BISMARCK","ND ","58501","5587","PO BOX 5587","BISMARCK","ND ","58506","5587","7013234340","4-Regional education services agency","46.823100","-100.812400","08500","†","†","North Dakota","†"
"BOTTINEAU 1","North Dakota","3803060","BOTTINEAU COUNTY","38009","38","2","301 BRANDER ST","BOTTINEAU","ND ","58318","1144","301 BRANDER ST","BOTTINEAU","ND ","58318","1144","7012282266","1-Local school district","48.828900","-100.442700","05001","Prekindergarten","12th Grade","North Dakota","641"
"BOWBELLS 14","North Dakota","3803090","BURKE COUNTY","38013","38","2","200 MADISON AVE","BOWBELLS","ND ","58721","0279","PO BOX 279","BOWBELLS","ND ","58721","0279","7013772396","1-Local school district","48.805300","-102.247100","07014","Kindergarten","12th Grade","North Dakota","60"
"BOWMAN CO 1","North Dakota","3803200","BOWMAN COUNTY","38011","38","3","102 8TH AVE SW","BOWMAN","ND ","58623","0128","DRAWER H","BOWMAN","ND ","58623","0128","7015233283","1-Local school district","46.180800","-103.407500","06001","Prekindergarten","12th Grade","North Dakota","488"
"BURKE CENTRAL 36","North Dakota","3803590","BURKE COUNTY","38013","38","2","101 4TH AVE WEST","LIGNITE","ND ","58752","0091","PO BOX 91","LIGNITE","ND ","58752","0091","7019332821","1-Local school district","48.875400","-102.563500","07036","Prekindergarten","12th Grade","North Dakota","124"
"BURLEIGH CO SPECIAL ED UNIT","North Dakota","3880120","BURLEIGH COUNTY","38015","38","1","4007 STATE ST","BISMARCK","ND ","58503","0689","4007 STATE ST STE 101","BISMARCK","ND ","58503","0689","7012586299","4-Regional education services agency","46.849400","-100.770900","08702","†","†","North Dakota","†"
"CARRINGTON 49","North Dakota","3800053","FOSTER COUNTY","38031","38","2","100 3RD AVE SOUTH","CARRINGTON","ND ","58421","0048","PO BOX 48","CARRINGTON","ND ","58421","0048","7016523136","1-Local school district","47.448400","-99.115800","16049","Prekindergarten","12th Grade","North Dakota","524"
"CAVALIER 6","North Dakota","3800018","PEMBINA COUNTY","38067","38","2","300 MAIN ST EAST","CAVALIER","ND ","58220","0410","PO BOX 410","CAVALIER","ND ","58220","0410","7012658417","1-Local school district","48.795100","-97.617800","34006","Prekindergarten","12th Grade","North Dakota","405"
"CENTER-STANTON 1","North Dakota","3800052","OLIVER COUNTY","38065","38","2","315 LINCOLN AVE","CENTER","ND ","58530","0248","PO BOX 248","CENTER","ND ","58530","0248","7017948778","1-Local school district","47.118800","-101.297400","33001","Prekindergarten","12th Grade","North Dakota","228"
"CENTRAL CASS 17","North Dakota","3804090","CASS COUNTY","38017","38","3","802 5TH ST NORTH","CASSELTON","ND ","58012","3346","802 5TH ST N","CASSELTON","ND ","58012","3346","7013475352","1-Local school district","46.907100","-97.208200","09017","Prekindergarten","12th Grade","North Dakota","833"
"CENTRAL ELEM 32","North Dakota","3800037","SLOPE COUNTY","38087","38","1","106 COURT AVE","AMIDON","ND ","58620","0448","PO BOX MM","AMIDON","ND ","58620","0448","7018796231","1-Local school district","46.482900","-103.324400","44032","Kindergarten","12th Grade","North Dakota","8"
"CENTRAL VALLEY 3","North Dakota","3804140","TRAILL COUNTY","38097","38","2","1556 HWY 81 NE","BUXTON","ND ","58218","9268","1556 HWY 81 NE","BUXTON","ND ","58218","9268","7018472220","1-Local school district","47.636600","-97.069600","49003","Prekindergarten","12th Grade","North Dakota","244"
"DAKOTA PRAIRIE 1","North Dakota","3800040","NELSON COUNTY","38063","38","2","518 4TH AVE","PETERSBURG","ND ","58272","0037","PO BOX 37","PETERSBURG","ND ","58272","0037","7013458233","1-Local school district","48.008900","-98.001200","32001","Prekindergarten","12th Grade","North Dakota","266"
"DEVILS LAKE 1","North Dakota","3805040","RAMSEY COUNTY","38071","38","5","1601 COLLEGE DR NORTH","DEVILS LAKE","ND ","58301","1550","1601 COLLEGE DRIVE N","DEVILS LAKE","ND ","58301","1550","7016627640","1-Local school district","48.124700","-98.865800","36001","Prekindergarten","12th Grade","North Dakota","1657"
"DICKINSON 1","North Dakota","3800038","STARK COUNTY","38089","38","10","444 4TH ST WEST","DICKINSON","ND ","58601","4951","444 4TH ST W","DICKINSON","ND ","58601","4951","7014560002","1-Local school district","46.883200","-102.791900","45001","Prekindergarten","12th Grade","North Dakota","3188"
"DICKINSON SPECIAL ED UNIT","North Dakota","3880450","STARK COUNTY","38089","38","1","444 4TH ST WEST","DICKINSON","ND ","58601","4951","444 4TH ST W","DICKINSON","ND ","58601","4951","7014560002","4-Regional education services agency","46.883200","-102.792500","45735","†","†","North Dakota","†"
"DIVIDE COUNTY 1","North Dakota","3805160","DIVIDE COUNTY","38023","38","2","206 1ST ST NE","CROSBY","ND ","58730","0662","PO BOX G","CROSBY","ND ","58730","0662","7019656313","1-Local school district","48.914900","-103.293000","12001","Prekindergarten","12th Grade","North Dakota","358"
"DRAKE 57","North Dakota","3800029","MCHENRY COUNTY","38049","38","1","411 MAIN","DRAKE","ND ","58736","0256","PO BOX 256","DRAKE","ND ","58736","0256","7014653732","1-Local school district","47.925400","-100.372200","25057","7th Grade","12th Grade","North Dakota","92"
"DRAYTON 19","North Dakota","3805340","PEMBINA COUNTY","38067","38","2","108 SOUTH 5TH ST","DRAYTON","ND ","58225","4413","108 S 5TH ST","DRAYTON","ND ","58225","4413","7014543324","1-Local school district","48.561100","-97.183600","34019","Prekindergarten","12th Grade","North Dakota","158"
"DUNSEITH 1","North Dakota","3805460","ROLETTE COUNTY","38079","38","2","101 2ND AVE SW","DUNSEITH","ND ","58329","0789","PO BOX 789","DUNSEITH","ND ","58329","0789","7012440480","1-Local school district","48.811500","-100.063400","40001","Prekindergarten","12th Grade","North Dakota","411"
"EAST CENTRAL SPECIAL ED UNIT","North Dakota","3880260","EDDY COUNTY","38027","38","1","16 8TH ST SOUTH","NEW ROCKFORD","ND ","58356","1520","16 8TH ST S","NEW ROCKFORD","ND ","58356","1520","7019475015","4-Regional education services agency","47.679900","-99.138000","14712","†","†","North Dakota","†"
"EDGELEY 3","North Dakota","3805850","LAMOURE COUNTY","38045","38","3","307 6TH ST","EDGELEY","ND ","58433","0037","PO BOX 37","EDGELEY","ND ","58433","0037","7014932292","1-Local school district","46.358100","-98.717200","23003","Prekindergarten","12th Grade","North Dakota","216"
"EDMORE 2","North Dakota","3805950","RAMSEY COUNTY","38071","38","2","706 NORTH MAIN ST","EDMORE","ND ","58330","0188","PO BOX 188","EDMORE","ND ","58330","0188","7016442281","1-Local school district","48.415000","-98.453900","36002","Prekindergarten","12th Grade","North Dakota","72"
"EIGHT MILE 6","North Dakota","3806010","WILLIAMS COUNTY","38105","38","2","203 1ST ST EAST","TRENTON","ND ","58853","0239","PO BOX 239","TRENTON","ND ","58853","0239","7017748221","1-Local school district","48.069500","-103.839700","53006","Kindergarten","12th Grade","North Dakota","219"
"ELGIN-NEW LEIPZIG 49","North Dakota","3800045","GRANT COUNTY","38037","38","2","110 WEST ST NORTH","ELGIN","ND ","58533","0070","PO BOX 70","ELGIN","ND ","58533","0070","7015842374","1-Local school district","46.403400","-101.848400","19049","Kindergarten","12th Grade","North Dakota","124"
"ELLENDALE 40","North Dakota","3806090","DICKEY COUNTY","38021","38","3","321 1ST ST NORTH","ELLENDALE","ND ","58436","0400","PO BOX 400","ELLENDALE","ND ","58436","0400","7013493232","1-Local school district","46.002600","-98.524100","11040","Prekindergarten","12th Grade","North Dakota","325"
