"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"ADAMS CENTRAL PUBLIC SCHOOLS","Nebraska","3102770","ADAMS COUNTY","31001","31","4","1090 SOUTH ADAMS RD","HASTINGS","NE ","68901","1088","1090 S ADAMS RD","HASTINGS","NE ","68902","1088","4024633285","1-Local school district","40.569500","-98.460300","010090000","Prekindergarten","12th Grade","Nebraska","863"
"AINSWORTH COMMUNITY SCHOOLS","Nebraska","3102790","BROWN COUNTY","31017","31","4","520 EAST 2ND ST","AINSWORTH","NE ","69210","0065","520 E 2ND ST","AINSWORTH","NE ","69210","0065","4023872333","1-Local school district","42.547000","-99.856300","090010000","Prekindergarten","12th Grade","Nebraska","481"
"ALEGENT/IMMANUEL RTC","Nebraska","3100181","DOUGLAS COUNTY","31055","31","1","6845 NORTH 68TH PLAZA","OMAHA","NE ","68122","1709","6901 N 72ND STREET","OMAHA","NE ","68122","1709","4025722040","4-Regional education services agency","41.320500","-96.016200","284015000","†","†","Nebraska","†"
"ALLEN CONSOLIDATED SCHOOLS","Nebraska","3102880","DIXON COUNTY","31051","31","2","126 EAST 5TH","ALLEN","NE ","68710","0190","126 E 5TH","ALLEN","NE ","68710","0190","4026352484","1-Local school district","42.412600","-96.843400","260070000","Prekindergarten","12th Grade","Nebraska","219"
"ALLIANCE PUBLIC SCHOOLS","Nebraska","3102910","BOX BUTTE COUNTY","31013","31","5","1604 SWEETWATER AVE","ALLIANCE","NE ","69301","2668","1604 SWEETWATER AVE","ALLIANCE","NE ","69301","2668","3087625475","1-Local school district","42.109700","-102.868400","070006000","Prekindergarten","12th Grade","Nebraska","1586"
"ALMA PUBLIC SCHOOLS","Nebraska","3100080","HARLAN COUNTY","31083","31","2","515 JEWELL ST","ALMA","NE ","68920","0170","515 JEWELL STREET","ALMA","NE ","68920","0170","3089282131","1-Local school district","40.102600","-99.360900","420002000","Prekindergarten","12th Grade","Nebraska","287"
"ALTERNATIVES ACADEMY/JOURNEYS","Nebraska","3100173","DOUGLAS COUNTY","31055","31","1","11111 M ST","OMAHA","NE ","68137","1700","11111 M STREET","OMAHA","NE ","68137","1700","4029394696","4-Regional education services agency","41.211000","-96.087300","284011000","†","†","Nebraska","†"
"AMHERST PUBLIC SCHOOLS","Nebraska","3100070","BUFFALO COUNTY","31019","31","2","100 NORTH SYCAMORE","AMHERST","NE ","68812","0008","100 N SYCAMORE","AMHERST","NE ","68812","0008","3088263131","1-Local school district","40.838400","-99.266000","100119000","Prekindergarten","12th Grade","Nebraska","340"
"ANSELMO-MERNA PUBLIC SCHOOLS","Nebraska","3100010","CUSTER COUNTY","31041","31","2","750 NORTH CONWAY ST","MERNA","NE ","68856","0068","750 N CONWAY ST","MERNA","NE ","68856","0068","3086432224","1-Local school district","41.484900","-99.766800","210015000","Prekindergarten","12th Grade","Nebraska","241"
"ANSLEY PUBLIC SCHOOLS","Nebraska","3103060","CUSTER COUNTY","31041","31","2","1124 CAMERON ST","ANSLEY","NE ","68814","0370","1124 CAMERON STREET","ANSLEY","NE ","68814","0370","3089351121","1-Local school district","41.291400","-99.379000","210044000","Prekindergarten","12th Grade","Nebraska","168"
"ARAPAHOE PUBLIC SCHOOLS","Nebraska","3103090","FURNAS COUNTY","31065","31","2","610 WALNUT","ARAPAHOE","NE ","68922","0360","610 WALNUT","ARAPAHOE","NE ","68922","0360","3089625458","1-Local school district","40.308400","-99.898000","330018000","Prekindergarten","12th Grade","Nebraska","323"
"ARCADIA PUBLIC SCHOOLS","Nebraska","3103120","VALLEY COUNTY","31175","31","2","320 WEST OWENS ST","ARCADIA","NE ","68815","0248","320 W OWENS ST","ARCADIA","NE ","68815","0248","3087896522","1-Local school district","41.425400","-99.128300","880021000","Prekindergarten","12th Grade","Nebraska","124"
"ARLINGTON PUBLIC SCHOOLS","Nebraska","3103130","WASHINGTON COUNTY","31177","31","2","705 NORTH 9TH","ARLINGTON","NE ","68002","0580","705 N 9TH","ARLINGTON","NE ","68002","0580","4024784173","1-Local school district","41.457400","-96.359300","890024000","Prekindergarten","12th Grade","Nebraska","582"
"ARNOLD PUBLIC SCHOOLS","Nebraska","3100073","CUSTER COUNTY","31041","31","2","405 NORTH HASKELL","ARNOLD","NE ","69120","0399","405 N HASKELL","ARNOLD","NE ","69120","0399","3088482226","1-Local school district","41.425400","-100.192400","210089000","Prekindergarten","12th Grade","Nebraska","121"
