"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"ACADEMY FOR SCIENCE AND DESIGN CHARTER SCHOOL","New Hampshire","3300040","HILLSBOROUGH COUNTY","33011","33","2","486 AMHERST ST","NASHUA","NH ","03063","1282","486 AMHERST ST.","NASHUA","NH ","03063","1282","6035954705","7-Charter school agency","42.792200","-71.521700","725","6th Grade","12th Grade","New Hampshire","0"
"ALBANY SCHOOL DISTRICT","New Hampshire","3301350","CARROLL COUNTY","33003","33","0","176A MAIN ST","CONWAY","NH ","03818","6164","176A MAIN ST.","CONWAY","NH ","03818","6164","6034478368","2-Local school district component of supervisory union","43.978700","-71.125300","005","Kindergarten","12th Grade","New Hampshire","90"
"ALLENSTOWN SCHOOL DISTRICT","New Hampshire","3301380","MERRIMACK COUNTY","33013","33","2","267 PEMBROKE ST","PEMBROKE","NH ","03275","1343","PEMBROKE ACADEMY","PEMBROKE","NH ","03275","1343","6034855188","2-Local school district component of supervisory union","43.145100","-71.456000","009","Kindergarten","12th Grade","New Hampshire","580"
"ALTON SAU OFFICE","New Hampshire","3300020","BELKNAP COUNTY","33001","33","0","252 SUNCOOK VALLEY RD","ALTON","NH ","03809","4629","252 SUNCOOK VALLEY RD.","ALTON","NH ","03809","4629","6038757890","3-Supervisory union administrative center","43.434500","-71.206600","72","Prekindergarten","8th Grade","New Hampshire","†"
"ALTON SCHOOL DISTRICT","New Hampshire","3301440","BELKNAP COUNTY","33001","33","1","252 SUNCOOK VALLEY RD","ALTON","NH ","03809","4629","252 SUNCOOK VALLEY RD.","ALTON","NH ","03809","4629","6038757890","2-Local school district component of supervisory union","43.434500","-71.206600","015","Prekindergarten","12th Grade","New Hampshire","835"
"AMHERST SAU OFFICE","New Hampshire","3399939","HILLSBOROUGH COUNTY","33011","33","0","1 SCHOOL ST","AMHERST","NH ","03031","0849","PO BOX 849","AMHERST","NH ","03031","0849","6036732690","3-Supervisory union administrative center","42.863900","-71.626500","39","Prekindergarten","12th Grade","New Hampshire","†"
"AMHERST SCHOOL DISTRICT","New Hampshire","3301470","HILLSBOROUGH COUNTY","33011","33","2","1 SCHOOL ST","AMHERST","NH ","03031","0849","PO BOX 849","AMHERST","NH ","03031","0849","6036732690","2-Local school district component of supervisory union","42.863900","-71.626500","017","Prekindergarten","8th Grade","New Hampshire","1242"
"ANDOVER SCHOOL DISTRICT","New Hampshire","3301500","MERRIMACK COUNTY","33013","33","1","105 COMMUNITY DR","PENACOOK","NH ","03303","1625","105 COMMUNITY DR.","PENACOOK","NH ","03303","1625","6037536561","2-Local school district component of supervisory union","43.275300","-71.592700","019","Prekindergarten","12th Grade","New Hampshire","312"
"ASHLAND SCHOOL DISTRICT","New Hampshire","3301560","BELKNAP COUNTY","33001","33","1","103 MAIN ST","MEREDITH","NH ","03253","5857","103 MAIN ST.","MEREDITH","NH ","03253","5857","6032797947","2-Local school district component of supervisory union","43.654700","-71.500200","023","Kindergarten","8th Grade","New Hampshire","166"
"AUBURN SCHOOL DISTRICT","New Hampshire","3301590","MERRIMACK COUNTY","33013","33","1","90 FARMER RD","HOOKSETT","NH ","03106","2125","90 FARMER RD.","HOOKSETT","NH ","03106","2125","6036223731","2-Local school district component of supervisory union","43.047800","-71.416100","029","Kindergarten","12th Grade","New Hampshire","867"
"BARNSTEAD SAU OFFICE","New Hampshire","3303274","MERRIMACK COUNTY","33013","33","0","1 SUNCOOK VALLEY RD","BARNSTEAD, NH 03218","NH ","03218","0250","PO BOX 250","BARNSTEAD","NH ","03218","0250","6034351510","3-Supervisory union administrative center","43.323500","-71.305100","86","Prekindergarten","8th Grade","New Hampshire","†"
"BARNSTEAD SCHOOL DISTRICT","New Hampshire","3301620","MERRIMACK COUNTY","33013","33","1","1 SUNCOOK VALLEY RD","BARNSTEAD, NH 03218","NH ","03218","0250","PO BOX 250","BARNSTEAD","NH ","03218","0250","6034351510","2-Local school district component of supervisory union","43.323500","-71.305100","031","Prekindergarten","12th Grade","New Hampshire","739"
"BARRINGTON SAU OFFICE","New Hampshire","3300016","STRAFFORD COUNTY","33017","33","0","77 RAMSDELL LN","BARRINGTON","NH ","03825","3937","77 RAMSDELL LANE","BARRINGTON","NH ","03825","3937","6036642715","3-Supervisory union administrative center","43.218400","-71.034200","74","Prekindergarten","8th Grade","New Hampshire","†"
"BARRINGTON SCHOOL DISTRICT","New Hampshire","3301650","STRAFFORD COUNTY","33017","33","3","77 RAMSDELL LN","BARRINGTON","NH ","03825","3937","77 RAMSDELL LANE","BARRINGTON","NH ","03825","3937","6036642715","2-Local school district component of supervisory union","43.218400","-71.034200","033","Prekindergarten","12th Grade","New Hampshire","1360"
"BARTLETT SCHOOL DISTRICT","New Hampshire","3301680","CARROLL COUNTY","33003","33","1","176A MAIN ST","CONWAY","NH ","03818","6164","176A MAIN ST.","CONWAY","NH ","03818","6164","6034478368","2-Local school district component of supervisory union","43.978700","-71.125300","035","Kindergarten","12th Grade","New Hampshire","319"
"BATH SCHOOL DISTRICT","New Hampshire","3301710","GRAFTON COUNTY","33009","33","1","2975 DARTMOUTH COLLEGE HWY","N. HAVERHILL","NH ","03774","4535","2975 DARTMOUTH COLLEGE HWY.","N. HAVERHILL","NH ","03774","4535","6037872113","2-Local school district component of supervisory union","44.095700","-72.025300","039","Kindergarten","12th Grade","New Hampshire","108"
"BEDFORD SAU OFFICE","New Hampshire","3300011","HILLSBOROUGH COUNTY","33011","33","0","103 COUNTY RD","BEDFORD","NH ","03110","6202","103 COUNTY RD.","BEDFORD","NH ","03110","6202","6034723755","3-Supervisory union administrative center","42.938400","-71.496700","25","Prekindergarten","12th Grade","New Hampshire","†"
"BEDFORD SCHOOL DISTRICT","New Hampshire","3301740","HILLSBOROUGH COUNTY","33011","33","6","103 COUNTY RD","BEDFORD","NH ","03110","6202","103 COUNTY RD.","BEDFORD","NH ","03110","6202","6034723755","2-Local school district component of supervisory union","42.938400","-71.496700","041","Prekindergarten","12th Grade","New Hampshire","4409"
"BENTON SCHOOL DISTRICT","New Hampshire","3301830","GRAFTON COUNTY","33009","33","0","2975 DARTMOUTH COLLEGE HWY","N. HAVERHILL","NH ","03774","4535","2975 DARTMOUTH COLLEGE HWY.","N. HAVERHILL","NH ","03774","4535","6037872113","2-Local school district component of supervisory union","44.095700","-72.025300","047","Kindergarten","12th Grade","New Hampshire","31"
"BERLIN SAU OFFICE","New Hampshire","3399903","COOS COUNTY","33007","33","0","183 HILLSIDE AVE","BERLIN","NH ","03570","1899","183 HILLSIDE AVE.","BERLIN","NH ","03570","1899","6037526500","3-Supervisory union administrative center","44.474500","-71.181900","03","Kindergarten","12th Grade","New Hampshire","†"
"BERLIN SCHOOL DISTRICT","New Hampshire","3301860","COOS COUNTY","33007","33","4","183 HILLSIDE AVE","BERLIN","NH ","03570","1899","183 HILLSIDE AVE.","BERLIN","NH ","03570","1899","6037526500","2-Local school district component of supervisory union","44.474500","-71.181900","051","Kindergarten","12th Grade","New Hampshire","1203"
"BETHLEHEM SCHOOL DISTRICT","New Hampshire","3301890","GRAFTON COUNTY","33009","33","1","260 COTTAGE STREET STE C","LITTLETON","NH ","03561","4718","260 COTTAGE STREET","LITTLETON","NH ","03561","4718","6034443925","2-Local school district component of supervisory union","44.299400","-71.768600","053","Kindergarten","6th Grade","New Hampshire","156"
"BIRCHES ACADEMY FOR ACADEMIC & ART: A PUBLIC CHARTER SCHOOL","New Hampshire","3303286","ROCKINGHAM COUNTY","33015","33","1","419 SOUTH BROADWAY","SALEM","NH ","03079","4323","419 SOUTH BROADWAY","SALEM","NH ","03079","4323","6034586399","7-Charter school agency","42.748600","-71.203000","731","1st Grade","8th Grade","New Hampshire","0"
"BOW SAU OFFICE","New Hampshire","3300024","MERRIMACK COUNTY","33013","33","0","32 WHITE ROCK HILL RD","BOW","NH ","03304","4219","32 WHITE ROCK HILL RD.","BOW","NH ","03304","4219","6032244728","3-Supervisory union administrative center","43.152100","-71.544000","67","Prekindergarten","12th Grade","New Hampshire","†"
"BOW SCHOOL DISTRICT","New Hampshire","3301950","MERRIMACK COUNTY","33013","33","3","32 WHITE ROCK HILL RD","BOW","NH ","03304","4219","32 WHITE ROCK HILL RD.","BOW","NH ","03304","4219","6032244728","2-Local school district component of supervisory union","43.152100","-71.544000","057","Prekindergarten","12th Grade","New Hampshire","1374"
"BRENTWOOD SCHOOL DISTRICT","New Hampshire","3302010","ROCKINGHAM COUNTY","33015","33","1","30 LINDEN ST","EXETER","NH ","03833","2522","30 LINDEN ST.","EXETER","NH ","03833","2522","6037758653","2-Local school district component of supervisory union","42.975500","-70.957200","063","Prekindergarten","5th Grade","New Hampshire","346"
"BROOKLINE SCHOOL DISTRICT","New Hampshire","3302070","HILLSBOROUGH COUNTY","33011","33","2","4 LUND LN","HOLLIS","NH ","03049","1588","PO BOX 1588","HOLLIS","NH ","03049","1588","6033245999","2-Local school district component of supervisory union","42.749100","-71.594500","071","Prekindergarten","6th Grade","New Hampshire","579"
"CAMPTON SCHOOL DISTRICT","New Hampshire","3302100","GRAFTON COUNTY","33009","33","1","47 OLD WARD BRIDGE RD","PLYMOUTH","NH ","03264","1296","47 OLD WARD BRIDGE RD.","PLYMOUTH","NH ","03264","1296","6035361254","2-Local school district component of supervisory union","43.764100","-71.704500","075","Prekindergarten","8th Grade","New Hampshire","333"
"CANDIA SCHOOL DISTRICT","New Hampshire","3302130","MERRIMACK COUNTY","33013","33","1","90 FARMER RD","HOOKSETT","NH ","03106","2125","90 FARMER RD.","HOOKSETT","NH ","03106","2125","6036223731","2-Local school district component of supervisory union","43.047800","-71.416100","079","Kindergarten","12th Grade","New Hampshire","543"
"CHATHAM SCHOOL DISTRICT","New Hampshire","3302200","CARROLL COUNTY","33003","33","0","176A MAIN ST","CONWAY","NH ","03818","6164","176A MAIN ST.","CONWAY","NH ","03818","6164","6034478368","2-Local school district component of supervisory union","43.978700","-71.125300","091","Kindergarten","12th Grade","New Hampshire","42"
"CHESTER SAU OFFICE","New Hampshire","3300046","ROCKINGHAM COUNTY","33015","33","0","22 MURPHY DR","CHESTER","NH ","03036","8108","22 MURPHY DRIVE","CHESTER","NH ","03036","8108","6038873621","3-Supervisory union administrative center","42.960300","-71.252800","82","Prekindergarten","8th Grade","New Hampshire","†"
"CHESTER SCHOOL DISTRICT","New Hampshire","3302250","ROCKINGHAM COUNTY","33015","33","1","22 MURPHY DR","CHESTER","NH ","03036","8108","22 MURPHY DRIVE","CHESTER","NH ","03036","8108","6038873621","2-Local school district component of supervisory union","42.959600","-71.250600","093","Prekindergarten","12th Grade","New Hampshire","899"
