"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"100 LEGACY ACADEMY CHARTER SCHOOL","New Jersey","3400743","ESSEX COUNTY","34013","34","0","75 MORTON ST","NEWARK","NJ ","07103","","75 MORTON STREET","NEWARK","NJ ","07103","","9733178361","7-Charter school agency","40.733000","-74.185300","806075","6th Grade","8th Grade","New Jersey","†"
"ABSECON PUBLIC SCHOOLS","New Jersey","3400660","ATLANTIC COUNTY","34001","34","2","800 IRELAN AVE","ABSECON","NJ ","08201","1199","800 IRELAN AVENUE","ABSECON","NJ ","08201","1199","6096415375","1-Local school district","39.437300","-74.493600","010010","Prekindergarten","12th Grade","New Jersey","864"
"ACADEMY CHARTER HIGH SCHOOL","New Jersey","3400048","MONMOUTH COUNTY","34025","34","1","1725 MAIN ST","LAKE COMO","NJ ","07719","","1725 MAIN STREET","LAKE COMO","NJ ","07719","","7326818377","7-Charter school agency","40.171400","-74.027800","806010","9th Grade","12th Grade","New Jersey","207"
"ACADEMY FOR URBAN LEADERSHIP","New Jersey","3400741","MIDDLESEX COUNTY","34023","34","1","612 AMBOY AVE","PERTH AMBOY","NJ ","08861","","612 AMBOY AVE","PERTH AMBOY","NJ ","08861","","8482033742","7-Charter school agency","40.520900","-74.275800","806032","9th Grade","12th Grade","New Jersey","398"
"ADELAIDE L. SANFORD CHARTER SCHOOL","New Jersey","3400716","ESSEX COUNTY","34013","34","0","15 JAMES ST","NEWARK","NJ ","07102","","15 JAMES STREET","NEWARK","NJ ","07102","","9732971275","7-Charter school agency","40.744100","-74.171400","806016","Kindergarten","8th Grade","New Jersey","†"
"ALEXANDRIA TOWNSHIP SCHOOL DISTRICT","New Jersey","3400690","HUNTERDON COUNTY","34019","34","2","557 COUNTY RD 513","PITTSTOWN","NJ ","08867","0080","557 COUNTY ROAD 513","PITTSTOWN","NJ ","08867","0080","9089966811","1-Local school district","40.572700","-75.012900","190020","Prekindergarten","8th Grade","New Jersey","500"
"ALLAMUCHY TOWNSHIP SCHOOL DISTRICT","New Jersey","3400720","WARREN COUNTY","34041","34","2","20 JOHNSONBURG RD","ALLAMUCHY","NJ ","07820","0394","PO BOX J","ALLAMUCHY","NJ ","07820","0394","9088521894","1-Local school district","40.926900","-74.811300","410030","Prekindergarten","12th Grade","New Jersey","444"
"ALLENDALE BOARD OF EDUCATION","New Jersey","3400750","BERGEN COUNTY","34003","34","2","100 BROOKSIDE AVE","ALLENDALE","NJ ","07401","1795","100 BROOKSIDE AVENUE","ALLENDALE","NJ ","07401","1795","2013272020","1-Local school district","41.029500","-74.136500","030040","Prekindergarten","8th Grade","New Jersey","898"
"ALLENHURST","New Jersey","3400780","MONMOUTH COUNTY","34025","34","0","211 ALLEN AVE","ALLENHURST","NJ ","07711","0249","211 ALLEN AVE","ALLENHURST","NJ ","07711","0249","7325319222","1-Local school district","40.235700","-74.002000","250050","9th Grade","9th Grade","New Jersey","†"
"ALLOWAY TWP SCHOOL DISTRICT","New Jersey","3400810","SALEM COUNTY","34033","34","1","43 CEDAR ST","ALLOWAY","NJ ","08001","","PO BOX 327","ALLOWAY","NJ ","08001","","8569351622","1-Local school district","39.558100","-75.365000","330060","Prekindergarten","12th Grade","New Jersey","385"
"ALPHA BOROUGH PUBLIC SCHOOL","New Jersey","3400840","WARREN COUNTY","34041","34","1","817 NORTH BLVD","ALPHA","NJ ","08865","4245","817 NORTH BLVD","ALPHA","NJ ","08865","4245","9084545000","1-Local school district","40.664200","-75.165000","410070","Prekindergarten","12th Grade","New Jersey","242"
"ALPINE ELEMENTARY SCHOOL DISTRICT","New Jersey","3400870","BERGEN COUNTY","34003","34","1","500 HILLSIDE AVE","ALPINE","NJ ","07620","1038","500 HILLSIDE AVE.","ALPINE","NJ ","07620","1038","2017688255","1-Local school district","40.942000","-73.927400","030080","Kindergarten","12th Grade","New Jersey","163"
"ANDOVER REGIONAL","New Jersey","3400900","SUSSEX COUNTY","34037","34","2","707 LIMECREST RD","NEWTON","NJ ","07860","8801","707 LIMECREST RD.","NEWTON","NJ ","07860","8801","9739401234","1-Local school district","41.033000","-74.708000","370090","Prekindergarten","12th Grade","New Jersey","591"
"AREA VOCATIONAL TECHNICAL SCHOOLS OF MERCER COUNTY","New Jersey","3409950","MERCER COUNTY","34021","34","2","1085 OLD TRENTON RD","TRENTON","NJ ","08690","1229","1085 OLD TRENTON RD","TRENTON","NJ ","08690","1229","6095862129","1-Local school district","40.251000","-74.652900","213105","9th Grade","12th Grade","New Jersey","174"
"ASBURY PARK SCHOOL DISTRICT","New Jersey","3400930","MONMOUTH COUNTY","34025","34","4","603 MATTISON AVE","ASBURY PARK","NJ ","07712","5493","603 MATTISON AVENUE","ASBURY PARK","NJ ","07712","5493","7327762606","1-Local school district","40.216500","-74.010600","250100","Prekindergarten","12th Grade","New Jersey","2002"
"ATLANTIC CITY PUBLIC SCHOOLS","New Jersey","3400960","ATLANTIC COUNTY","34001","34","11","1300 ATLANTIC AVE","ATLANTIC CITY","NJ ","08401","6803","1300 ATLANTIC AVENUE","ATLANTIC CITY","NJ ","08401","6803","6093437200","1-Local school district","39.362600","-74.427100","010110","Prekindergarten","12th Grade","New Jersey","7311"
"ATLANTIC COUNTY SPECIAL SERVICES SCHOOL DISTRICT","New Jersey","3400006","ATLANTIC COUNTY","34001","34","2","4805 NAWAKWA BLVD","MAYS LANDING","NJ ","08330","2031","4805 NAWAKWA BOULEVARD","MAYS LANDING","NJ ","08330","2031","6096255590","1-Local school district","39.432200","-74.696800","010125","Prekindergarten","12th Grade","New Jersey","411"
"ATLANTIC COUNTY VOCATIONAL SCHOOL DISTRICT","New Jersey","3400990","ATLANTIC COUNTY","34001","34","2","5080 ATLANTIC AVE","MAYS LANDING","NJ ","08330","2022","5080 ATLANTIC AVENUE","MAYS LANDING","NJ ","08330","2022","6096252249","1-Local school district","39.440700","-74.696700","010120","9th Grade","12th Grade","New Jersey","1197"
"ATLANTIC HIGHLANDS SCHOOL DISTRICT","New Jersey","3401020","MONMOUTH COUNTY","34025","34","1","140 FIRST AVE","ATLANTIC HIGHLANDS","NJ ","07716","1238","140 FIRST AVENUE","ATLANTIC HIGHLANDS","NJ ","07716","1238","7322912020","1-Local school district","40.411200","-74.038100","250130","Prekindergarten","6th Grade","New Jersey","319"
"AUDUBON PUBLIC SCHOOLS","New Jersey","3401050","CAMDEN COUNTY","34007","34","3","350 EDGEWOOD AVE","AUDUBON","NJ ","08106","2299","350 EDGEWOOD AVENUE","AUDUBON","NJ ","08106","2299","8565477695","1-Local school district","39.885100","-75.075900","070150","Prekindergarten","12th Grade","New Jersey","1546"
"AVALON ELEMENTARY SCHOOL","New Jersey","3401110","CAPE MAY COUNTY","34009","34","1","235 32ND ST","AVALON","NJ ","08202","1770","235 32ND STREET","AVALON","NJ ","08202","1770","6099677544","1-Local school district","39.095200","-74.724700","090170","Kindergarten","12th Grade","New Jersey","58"
"AVON-BY-THE-SEA","New Jersey","3401140","MONMOUTH COUNTY","34025","34","1","505 LINCOLN AVE","AVON","NJ ","07717","1150","505 LINCOLN AVE","AVON","NJ ","07717","1150","7327754328","1-Local school district","40.190500","-74.020900","250180","Kindergarten","12th Grade","New Jersey","156"
"BARNEGAT TOWNSHIP SCHOOL DISTRICT","New Jersey","3416470","OCEAN COUNTY","34029","34","6","550 BARNEGAT BLVD","BARNEGAT","NJ ","08005","2497","550 BARNEGAT BLVD","BARNEGAT","NJ ","08005","2497","6096985800","1-Local school district","39.759400","-74.240600","290185","Prekindergarten","12th Grade","New Jersey","3216"
"BARRINGTON SCHOOL DISTRICT","New Jersey","3401170","CAMDEN COUNTY","34007","34","2","311 READING AVE","BARRINGTON","NJ ","08007","1051","311 READING AVENUE","BARRINGTON","NJ ","08007","1051","8565478467","1-Local school district","39.871800","-75.054900","070190","Prekindergarten","12th Grade","New Jersey","612"
"BASS RIVER TOWNSHIP BOARD OF EDUCATION","New Jersey","3401200","BURLINGTON COUNTY","34005","34","1","11 NORTH MAPLE AVE","NEW GRETNA","NJ ","08224","0304","P O BOX 304","NEW GRETNA","NJ ","08224","0304","6092964230","1-Local school district","39.593800","-74.452200","050200","Prekindergarten","6th Grade","New Jersey","112"
"BAY HEAD BOROUGH","New Jersey","3401230","OCEAN COUNTY","34029","34","1","145 GROVE ST","BAY HEAD","NJ ","08742","5027","145 GROVE STREET","BAY HEAD","NJ ","08742","5027","7328920668","1-Local school district","40.069700","-74.051200","290210","Prekindergarten","9th Grade","New Jersey","135"
"BAYONNE BOARD OF EDUCATION","New Jersey","3401260","HUDSON COUNTY","34017","34","12","669 AVE A","BAYONNE","NJ ","07002","","669 AVENUE A","BAYONNE","NJ ","07002","","2018585814","1-Local school district","40.677100","-74.104200","170220","Prekindergarten","12th Grade","New Jersey","9691"
"BAYSHORE JOINTURE COMMISSION","New Jersey","3400069","MONMOUTH COUNTY","34025","34","1","1 CREST WAY","ABERDEEN","NJ ","07747","","900 HOPE ROAD","TINTON FALLS","NJ ","07712","","7326957800","1-Local school district","40.402300","-74.224900","250225","Prekindergarten","12th Grade","New Jersey","58"
"BEACH HAVEN SCHOOL DISTRICT","New Jersey","3401290","OCEAN COUNTY","34029","34","1","8TH ST AND BEACH AVE","BEACH HAVEN","NJ ","08008","","8TH STREET & BEACH AVENUE","BEACH HAVEN","NJ ","08008","","6094927411","1-Local school district","39.567600","-74.235200","290230","Prekindergarten","6th Grade","New Jersey","73"
"BEDMINSTER TOWNSHIP PUBLIC SCHOOL","New Jersey","3401320","SOMERSET COUNTY","34035","34","1","234 SOMERVILLE RD","BEDMINSTER","NJ ","07921","2616","234 SOMERVILLE ROAD","BEDMINSTER","NJ ","07921","2616","9082340768","1-Local school district","40.679100","-74.645500","350240","Prekindergarten","12th Grade","New Jersey","500"
