"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"ABQ SCHOOL OF EXCELLENCE","New Mexico","3500122","BERNALILLO COUNTY","35001","35","1","13201 LOMAS BLVD NE","ALBUQUERQUE","NM ","87112","","NO STREET ADDRESS","ALBUQUERQUE","NM ","87106","","5053127711","7-Charter school agency","35.087000","-106.499200","516","1st Grade","11th Grade","New Mexico","300"
"ABQ SIGN LANGUAGE ACADEMY","New Mexico","3500123","BERNALILLO COUNTY","35001","35","1","620 LOMAS BLVD NW","ALBUQUERQUE","NM ","87102","","NO STREET ADDRESS","ALBUQUERQUE","NM ","87106","","5052471701","7-Charter school agency","35.091200","-106.653500","517","Kindergarten","8th Grade","New Mexico","85"
"ACADEMY OF TRADES AND TECH","New Mexico","3500129","BERNALILLO COUNTY","35001","35","1","1718 YALE BLVD SE","ALBUQUERQUE","NM ","87106","","1718 YALE BLVD SE","ALBUQUERQUE","NM ","87106","","5057655517","7-Charter school agency","35.062700","-106.621200","523","9th Grade","12th Grade","New Mexico","114"
"ACE LEADERSHIP HIGH SCHOOL","New Mexico","3500128","BERNALILLO COUNTY","35001","35","1","800B 20TH ST NW","ALBUQUERQUE","NM ","87104","","NO STREET ADDRESS","ALBUQUERQUE","NM ","87106","","5052424733","7-Charter school agency","35.100100","-106.667500","522","9th Grade","12th Grade","New Mexico","308"
"ALAMOGORDO PUBLIC SCHOOLS","New Mexico","3500030","OTERO COUNTY","35035","35","15","1222 INDIANA AVE","ALAMOGORDO","NM ","88311","0617","P.O. BOX 650","ALAMOGORDO","NM ","88311","0617","5758126000","1-Local school district","32.902200","-105.956400","046","Prekindergarten","12th Grade","New Mexico","6069"
"ALBUQUERQUE INSTITUTE OF MATH & SCIENCE","New Mexico","3500130","BERNALILLO COUNTY","35001","35","1","933 BRADBURY SE","ALBUQUERQUE","NM ","87106","","933 BRADBURY SE","ALBUQUERQUE","NM ","87106","","5055594249","7-Charter school agency","35.071300","-106.633300","524","6th Grade","12th Grade","New Mexico","340"
"ALBUQUERQUE PUBLIC SCHOOLS","New Mexico","3500060","BERNALILLO COUNTY","35001","35","162","6400 UPTOWN BLVD NE","ALBUQUERQUE","NM ","87110","","P.O. BOX 25704","ALBUQUERQUE","NM ","87125","0704","5058559040","1-Local school district","35.102800","-106.572700","001","Prekindergarten","12th Grade","New Mexico","93202"
"ALDO LEOPOLD CHARTER","New Mexico","3500138","GRANT COUNTY","35017","35","1","1422 HWY 180 EAST","SILVER CITY","NM ","88062","","PO BOX 770","SILVER CITY","NM ","88062","","5755382547","7-Charter school agency","32.785100","-108.261300","532","6th Grade","12th Grade","New Mexico","144"
"ALMA D'ARTE CHARTER","New Mexico","3500116","DOÃ±A ANA COUNTY","35013","35","1","402 WEST COURT AVE","LAS CRUCES","NM ","88005","","NO STREET ADDRESS","LAS CRUCES","NM ","88006","","5755410145","7-Charter school agency","32.311400","-106.783100","511","9th Grade","12th Grade","New Mexico","188"
"AMY BIEHL CHARTER HIGH SCHOOL","New Mexico","3500131","BERNALILLO COUNTY","35001","35","1","123 4TH ST SW","ALBUQUERQUE","NM ","87102","","123 4TH STREET SW","ALBUQUERQUE","NM ","87102","","5052999409","7-Charter school agency","35.083900","-106.652400","525","9th Grade","12th Grade","New Mexico","300"
"ANIMAS PUBLIC SCHOOLS","New Mexico","3500090","HIDALGO COUNTY","35023","35","3","1 PANTHER BLVD","ANIMAS","NM ","88020","","P.O. BOX 85","ANIMAS","NM ","88020","0085","5755482299","1-Local school district","31.948400","-108.813200","030","Prekindergarten","12th Grade","New Mexico","180"
"ANTHONY CHARTER SCHOOL","New Mexico","3500161","DOÃ±A ANA COUNTY","35013","35","1","780 LANDERS RD","ANTHONY","NM ","88021","","PO BOX 355","ANTHONY","NM ","88021","","–","7-Charter school agency","32.013900","-106.600300","556","7th Grade","12th Grade","New Mexico","68"
"ARTESIA PUBLIC SCHOOLS","New Mexico","3500120","EDDY COUNTY","35015","35","10","1106 WEST QUAY AVE","ARTESIA","NM ","88210","1826","1106 WEST QUAY AVENUE","ARTESIA","NM ","88210","1826","5057463585","1-Local school district","32.841200","-104.410000","022","Prekindergarten","12th Grade","New Mexico","3760"
"AZTEC MUNICIPAL SCHOOLS","New Mexico","3500150","SAN JUAN COUNTY","35045","35","7","1118 WEST AZTEC BLVD","AZTEC","NM ","87410","1818","1118 WEST AZTEC BLVD","AZTEC","NM ","87410","1818","5053349474","1-Local school district","36.826600","-108.006600","064","Prekindergarten","12th Grade","New Mexico","3407"
"BELEN CONSOLIDATED SCHOOLS","New Mexico","3500180","VALENCIA COUNTY","35061","35","11","520 NORTH MAIN","BELEN","NM ","87002","3720","520 NORTH MAIN","BELEN","NM ","87002","3720","5059661000","1-Local school district","34.665600","-106.774700","087","Prekindergarten","12th Grade","New Mexico","4217"
"BERNALILLO PUBLIC SCHOOLS","New Mexico","3500210","SANDOVAL COUNTY","35043","35","10","224 NORTH CAMINO DEL PUEBLO","BERNALILLO","NM ","87004","0640","224 N. CAMINO DEL PUEBLO","BERNALILLO","NM ","87004","0640","5058672317","1-Local school district","35.321300","-106.543700","061","Prekindergarten","12th Grade","New Mexico","3009"
"BLOOMFIELD SCHOOLS","New Mexico","3500240","SAN JUAN COUNTY","35045","35","7","325 NORTH BERGIN LN","BLOOMFIELD","NM ","87413","6729","325 NORTH BERGIN LANE","BLOOMFIELD","NM ","87413","6729","5056324300","1-Local school district","36.714000","-108.003900","066","Prekindergarten","12th Grade","New Mexico","2987"
"CAPITAN MUNICIPAL SCHOOLS","New Mexico","3500270","LINCOLN COUNTY","35027","35","3","150 FOREST ST","CAPITAN","NM ","88316","","P.O. BOX 278","CAPITAN","NM ","88316","0278","5753548500","1-Local school district","33.545000","-105.581700","040","Prekindergarten","12th Grade","New Mexico","483"
"CARLSBAD MUNICIPAL SCHOOLS","New Mexico","3500300","EDDY COUNTY","35015","35","14","408 NORTH CANYON ST","CARLSBAD","NM ","88220","5812","408 NORTH CANYON STREET","CARLSBAD","NM ","88220","5812","5052343300","1-Local school district","32.424400","-104.227600","020","Prekindergarten","12th Grade","New Mexico","6420"
"CARRIZOZO MUNICIPAL SCHOOLS","New Mexico","3500330","LINCOLN COUNTY","35027","35","3","800 D. AVE","CARRIZOZO","NM ","88301","","P.O. BOX 99","CARRIZOZO","NM ","88301","0099","5756482346","1-Local school district","33.644700","-105.880100","037","Kindergarten","12th Grade","New Mexico","152"
"CENTRAL CONSOLIDATED SCHOOLS","New Mexico","3500390","SAN JUAN COUNTY","35045","35","17","64 OLD SHIPROCK HIGH SCH RD","SHIPROCK","NM ","87420","","P.O. BOX 1199","SHIPROCK","NM ","87420","1179","5053684984","1-Local school district","36.782200","-108.679800","067","Prekindergarten","12th Grade","New Mexico","6511"
"CESAR CHAVEZ COMMUNITY  SCHOOL","New Mexico","3500117","BERNALILLO COUNTY","35001","35","1","1511 CENTRAL NE","ALBUQUERQUE","NM ","87105","","1511 CENTRAL NE","ALBUQUERQUE","NM ","87105","","5058803744","7-Charter school agency","35.082000","-106.629000","512","9th Grade","12th Grade","New Mexico","201"
"CHAMA VALLEY INDEP. SCHOOLS","New Mexico","3500420","RIO ARRIBA COUNTY","35039","35","4","NEW MEXICO 531","TIERRA AMARILLA","NM ","87575","","P.O. DRAWER 10","TIERRA AMARILLA","NM ","87575","0010","5755887285","1-Local school district","36.703500","-106.579000","053","Kindergarten","12th Grade","New Mexico","396"
"CHILDRENS PSYC","New Mexico","3500016","SANTA FE COUNTY","35049","35","1","1001 YALE NE","ALBUQUERQUE","NM ","87131","","NO STREET ADDRESS","CITY","NM ","87501","","5052722890","5-State-operated institution","35.692500","-105.938200","095","Prekindergarten","12th Grade","New Mexico","25"
"CIEN AGUAS INTERNATIONAL  SCHOOL","New Mexico","3500115","BERNALILLO COUNTY","35001","35","1","1734 ISLETA BLVD","ALBUQUERQUE","NM ","87105","","1734 ISLETA BLVD","ALBUQUERQUE","NM ","87105","","5052550001","7-Charter school agency","35.050400","-106.676800","507","Kindergarten","8th Grade","New Mexico","311"
"CIMARRON MUNICIPAL SCHOOLS","New Mexico","3500480","COLFAX COUNTY","35007","35","6","125 NORTH COLLISION AVE","CIMARRON","NM ","87714","","125 N. COLLISION AVE.","CIMARRON","NM ","87714","","5753762445","1-Local school district","36.511900","-104.919600","008","Prekindergarten","12th Grade","New Mexico","425"
"CLAYTON MUNICIPAL SCHOOLS","New Mexico","3500510","UNION COUNTY","35059","35","4","323 SOUTH FIFTH","CLAYTON","NM ","88415","2641","323 SOUTH FIFTH","CLAYTON","NM ","88415","2641","5753749611","1-Local school district","36.447200","-103.191300","084","Prekindergarten","12th Grade","New Mexico","534"
"CLOUDCROFT MUNICIPAL SCHOOLS","New Mexico","3500540","OTERO COUNTY","35035","35","3","10 SWALLOW PLACE","CLOUDCROFT","NM ","88317","","P.O. BOX 198","CLOUDCROFT","NM ","88317","0198","5756014416","1-Local school district","32.955800","-105.742900","048","Prekindergarten","12th Grade","New Mexico","332"
"CLOVIS MUNICIPAL SCHOOLS","New Mexico","3500570","CURRY COUNTY","35009","35","19","1009 MAIN ST","CLOVIS","NM ","88101","","P.O. BOX 19000","CLOVIS","NM ","88102","9000","5757694300","1-Local school district","34.408000","-103.205300","012","Prekindergarten","12th Grade","New Mexico","8630"
"COBRE CONSOLIDATED SCHOOLS","New Mexico","3500600","GRANT COUNTY","35017","35","6","900 A CENTRAL AVE","BAYARD","NM ","88023","","P.O. BOX 1000","BAYARD","NM ","88023","1000","5755374010","1-Local school district","32.757300","-108.142900","024","Prekindergarten","12th Grade","New Mexico","1297"
"CORAL COMMUNITY CHARTER","New Mexico","3500154","BERNALILLO COUNTY","35001","35","1","11420 MOROCCO NE","ALBUQUERQUE","NM ","87111","","11420 MOROCCO NE","ALBUQUERQUE","NM ","87111","","5052926725","7-Charter school agency","35.133700","-106.509700","541","Kindergarten","4th Grade","New Mexico","94"
"CORONA MUNICIPAL SCHOOLS","New Mexico","3500630","LINCOLN COUNTY","35027","35","2","FRANKLIN ST","CORONA","NM ","88318","","P.O. BOX 258","CORONA","NM ","88318","0258","5758491911","1-Local school district","34.250100","-105.596000","038","Prekindergarten","12th Grade","New Mexico","63"
"COTTONWOOD CLASSICAL PREP","New Mexico","3500108","BERNALILLO COUNTY","35001","35","1","1776 MONTANA BLVD NW BLDG 3","ALBUQUERQUE","NM ","87107","","CCPS 1776 MONTANO NW","LOS RANCHOS","NM ","87107","3245","5059981021","7-Charter school agency","35.142100","-106.662200","502","6th Grade","12th Grade","New Mexico","614"
"CREATIVE ED PREP #1","New Mexico","3500114","BERNALILLO COUNTY","35001","35","1","4801 MONTANO NW","ALBUQUERQUE","NM ","87120","","NO STREET ADDRESS","ALBUQUERQUE","NM ","87105","","5053142374","7-Charter school agency","35.152600","-106.695000","513","9th Grade","12th Grade","New Mexico","168"
"CUBA INDEPENDENT SCHOOLS","New Mexico","3500660","SANDOVAL COUNTY","35043","35","3","50 COUNTY RD 13","CUBA","NM ","87013","","P.O. BOX 70","CUBA","NM ","87013","0070","5752893211","1-Local school district","36.047500","-106.913200","062","Prekindergarten","12th Grade","New Mexico","551"
"DEMING PUBLIC SCHOOLS","New Mexico","3500690","LUNA COUNTY","35029","35","11","1001 SOUTH DIAMOND","DEMING","NM ","88030","","1001 S. DIAMOND","DEMING","NM ","88030","4710","5755468841","1-Local school district","32.260600","-107.754200","042","Prekindergarten","12th Grade","New Mexico","5412"
"DES MOINES MUNICIPAL SCHOOLS","New Mexico","3500720","UNION COUNTY","35059","35","2","295 FRANCIS AVE","DES MOINES","NM ","88418","","P.O. BOX 38","DES MOINES","NM ","88418","0038","5752782611","1-Local school district","36.758700","-103.834200","085","Kindergarten","12th Grade","New Mexico","89"
"DEXTER CONSOLIDATED SCHOOLS","New Mexico","3500750","CHAVES COUNTY","35005","35","3","100 NORTH LINCOLN","DEXTER","NM ","88230","","P.O. BOX 159","DEXTER","NM ","88230","0159","5057345420","1-Local school district","33.197900","-104.371100","006","Prekindergarten","12th Grade","New Mexico","984"
"DORA MUNICIPAL SCHOOLS","New Mexico","3500790","ROOSEVELT COUNTY","35041","35","2","100 SCHOOL ST","DORA","NM ","88115","","P.O. BOX 327","DORA","NM ","88115","0327","5754772216","1-Local school district","33.939400","-103.337400","060","Prekindergarten","12th Grade","New Mexico","245"
"DULCE INDEPENDENT SCHOOLS","New Mexico","3500810","RIO ARRIBA COUNTY","35039","35","3","113 HAWKS DR","DULCE","NM ","87528","","P.O. BOX 547","DULCE","NM ","87528","0547","5757593225","1-Local school district","36.941200","-106.987700","054","Prekindergarten","12th Grade","New Mexico","667"
"EAST MTN HIGH SCHOOL","New Mexico","3500132","BERNALILLO COUNTY","35001","35","1","25 LA MADERA RD","SANDIA PARK","NM ","87047","","PO BOX 340","SANDIA PARK","NM ","87047","","5052817400","7-Charter school agency","35.176200","-106.344700","526","9th Grade","12th Grade","New Mexico","371"
"ELIDA MUNICIPAL SCHOOLS","New Mexico","3500840","ROOSEVELT COUNTY","35041","35","2","103 NORTH CHURCH","ELIDA","NM ","88116","","P.O. BOX 8","ELIDA","NM ","88116","0008","5752746211","1-Local school district","33.946900","-103.652500","058","Prekindergarten","12th Grade","New Mexico","144"
"ESPANOLA PUBLIC SCHOOLS","New Mexico","3500900","RIO ARRIBA COUNTY","35039","35","15","714 CALLE DON DIEGO","ESPANOLA","NM ","87532","3414","714 CALLE DON DIEGO","ESPANOLA","NM ","87532","3414","5057532254","1-Local school district","36.215200","-106.344300","055","Prekindergarten","12th Grade","New Mexico","4068"
