"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"CARSON CITY SCHOOL DISTRICT","Nevada","3200390","CARSON CITY","32510","32","12","1402 WEST KING","CARSON CITY","NV ","89702","","BOX BUTTE 603","CARSON CITY","NV ","89702","","7752832100","1-Local school district","39.165000","-119.778400","13","Prekindergarten","12th Grade","Nevada","7760"
"CHURCHILL COUNTY SCHOOL DISTRICT","Nevada","3200030","CHURCHILL COUNTY","32001","32","6","545 EAST RICHARDS ST","FALLON","NV ","89406","3430","545 EAST RICHARDS STREET","FALLON","NV ","89406","3430","7754235184","1-Local school district","39.472000","-118.769500","01","Prekindergarten","12th Grade","Nevada","3675"
"CLARK COUNTY SCHOOL DISTRICT","Nevada","3200060","CLARK COUNTY","32003","32","363","5100 WEST SAHARA AVE","LAS VEGAS","NV ","89146","","5100 WEST SAHARA AVE.","LAS VEGAS","NV ","89146","","7027995000","1-Local school district","36.144600","-115.210900","02","Prekindergarten","12th Grade","Nevada","320532"
"DAVIDSON ACADEMY  SCHOOL DISTRICT","Nevada","3200021","WASHOE COUNTY","32031","32","1","1164 NORTH VIRGINA ST","RENO","NV ","89503","","P O BOX 9119","RENO","NV ","89507","","7756825800","1-Local school district","39.538500","-119.816900","19","4th Grade","12th Grade","Nevada","133"
"DOUGLAS COUNTY SCHOOL DISTRICT","Nevada","3200090","DOUGLAS COUNTY","32005","32","14","1638 MONO AVE","MINDEN","NV ","89423","","BOX BUTTE 1888","MINDEN","NV ","89423","","7757825134","1-Local school district","38.953700","-119.767800","03","Prekindergarten","12th Grade","Nevada","6130"
"ELKO COUNTY SCHOOL DISTRICT","Nevada","3200120","ELKO COUNTY","32007","32","32","1092 BURNS RD","ELKO","NV ","89803","","BOX BUTTE 1012","ELKO","NV ","89803","","7757385196","1-Local school district","40.840500","-115.764300","04","Prekindergarten","12th Grade","Nevada","9945"
"ESMERALDA COUNTY SCHOOL DISTRICT","Nevada","3200150","ESMERALDA COUNTY","32009","32","4","5TH AND RAMSEY","GOLDFIELD","NV ","89013","","BOX BUTTE 560","GOLDFIELD","NV ","89013","","7754856382","1-Local school district","37.708900","-117.234200","05","Prekindergarten","8th Grade","Nevada","78"
"EUREKA COUNTY SCHOOL DISTRICT","Nevada","3200180","EUREKA COUNTY","32011","32","4","ADAMS ST","EUREKA","NV ","89316","","BOX BUTTE 249","EUREKA","NV ","89316","","7752375373","1-Local school district","39.512600","-115.962200","06","Prekindergarten","12th Grade","Nevada","246"
"HUMBOLDT COUNTY SCHOOL DISTRICT","Nevada","3200210","HUMBOLDT COUNTY","32013","32","14","310 EAST FOURTH ST","WINNEMUCCA","NV ","89445","","310 EAST 4TH STREET","WINNEMUCCA","NV ","89445","","7756238100","1-Local school district","40.975200","-117.731000","07","Prekindergarten","12th Grade","Nevada","3517"
"LANDER COUNTY SCHOOL DISTRICT","Nevada","3200240","LANDER COUNTY","32015","32","5","625 WEAVER AVE","BATTLE MOUNTAIN","NV ","89820","2188","BOX BUTTE 1300","BATTLE MOUNTAIN","NV ","89820","2188","7756352886","1-Local school district","40.635400","-116.938300","08","Prekindergarten","12th Grade","Nevada","1121"
"LINCOLN COUNTY SCHOOL DISTRICT","Nevada","3200270","LINCOLN COUNTY","32017","32","9","495 EAST EDWARDS","PANACA","NV ","89042","0118","BOX BUTTE 118","PANACA","NV ","89042","0118","7757284471","1-Local school district","37.790200","-114.387200","09","Prekindergarten","12th Grade","Nevada","973"
"LYON COUNTY SCHOOL DISTRICT","Nevada","3200300","LYON COUNTY","32019","32","18","25 EAST GOLDFIELD AVE","YERINGTON","NV ","89447","2315","25 EAST GOLDFIELD AVENUE","YERINGTON","NV ","89447","2315","7754636800","1-Local school district","38.993800","-119.163500","10","Prekindergarten","12th Grade","Nevada","8104"
