"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"ABBOTT UNION FREE SCHOOL DISTRICT","New York","3602300","WESTCHESTER COUNTY","36119","36","1","100 NORTH BROADWAY","IRVINGTON","NY ","10533","1254","100 N BROADWAY","IRVINGTON","NY ","10533","1254","9144283043","1-Local school district","41.043900","-73.859000","660413020000","†","†","New York","†"
"ACADEMIC LEADERSHIP CHARTER SCHOOL","New York","3601001","BRONX COUNTY","36005","36","1","677 EAST 141ST ST","BRONX","NY ","10454","","677 E 141ST ST","BRONX","NY ","10454","","7185854215","7-Charter school agency","40.808100","-73.912500","320700860957","Kindergarten","5th Grade","New York","351"
"ACADEMY CHARTER SCHOOL","New York","3600997","NASSAU COUNTY","36059","36","1","117 NORTH FRANKLIN AVE","HEMPSTEAD","NY ","11550","","117 N FRANKLIN AVE","HEMPSTEAD","NY ","11550","","5164082200","7-Charter school agency","40.710100","-73.628500","280201860934","Kindergarten","6th Grade","New York","482"
"ACADEMY OF THE CITY CHARTER SCHOOL","New York","3601053","QUEENS COUNTY","36081","36","1","3129 60TH ST","WOODSIDE","NY ","11377","","31-29 60TH ST","WOODSIDE","NY ","11377","","7184879857","7-Charter school agency","40.756600","-73.902600","343000860998","Kindergarten","3rd Grade","New York","271"
"ACHIEVEMENT ACADEMY CHARTER SCHOOL","New York","3600129","ALBANY COUNTY","36001","36","0","75 PARK AVE","ALBANY","NY ","12202","","75 PARK AVE","ALBANY","NY ","12202","","5185331601","7-Charter school agency","42.645800","-73.761800","010100860876","5th Grade","8th Grade","New York","†"
"ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL","New York","3601028","KINGS COUNTY","36047","36","1","350 LINWOOD ST","BROOKLYN","NY ","11208","","350 LINWOOD ST","BROOKLYN","NY ","11208","","7182352647","7-Charter school agency","40.677000","-73.883400","331900860933","Kindergarten","4th Grade","New York","432"
"ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL","New York","3601109","KINGS COUNTY","36047","36","1","982 HEGEMAN AVE","BROOKLYN","NY ","11208","","982 HEGEMAN AVE","BROOKLYN","NY ","11208","","3478380205","7-Charter school agency","40.666500","-73.876200","331900860993","Kindergarten","1st Grade","New York","181"
"ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL","New York","3600969","KINGS COUNTY","36047","36","1","2021 BERGEN STRM 149","BROOKLYN","NY ","11233","","2021 BERGEN ST-RM 149","BROOKLYN","NY ","11233","","3474712600","7-Charter school agency","40.674100","-73.913500","332300860912","Kindergarten","6th Grade","New York","608"
"ACHIEVEMENT FIRST BUSHWICK CHARTER SCHOOL","New York","3600166","KINGS COUNTY","36047","36","1","1300 GREENE AVE","BROOKLYN","NY ","11237","","1300 GREENE AVE","BROOKLYN","NY ","11237","","7184431213","7-Charter school agency","40.697900","-73.919100","333200860906","Kindergarten","11th Grade","New York","941"
"ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL","New York","3600147","KINGS COUNTY","36047","36","1","1485 PACIFIC ST","BROOKLYN","NY ","11213","","790 E NEW YORK AVE","BROOKLYN","NY ","11203","","7187740762","7-Charter school agency","40.677300","-73.942200","331700860879","Kindergarten","12th Grade","New York","942"
"ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL","New York","3600149","KINGS COUNTY","36047","36","1","557 PENNSYLVANIA AVE","BROOKLYN","NY ","11207","","557 PENNSYLVANIA AVE","BROOKLYN","NY ","11207","","7184854924","7-Charter school agency","40.663600","-73.893700","331900860880","Kindergarten","9th Grade","New York","775"
"ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL","New York","3600170","KINGS COUNTY","36047","36","1","510 WAVERLY AVE","BROOKLYN","NY ","11238","2702","510 WAVERLY AVE","BROOKLYN","NY ","11238","2702","7186224786","7-Charter school agency","40.682400","-73.965900","331300860902","Kindergarten","12th Grade","New York","849"
"ADDISON CENTRAL SCHOOL DISTRICT","New York","3602370","STEUBEN COUNTY","36101","36","3","7 CLEVELAND DRSTE 101","ADDISON","NY ","14801","1324","7 CLEVELAND DR-STE 101","ADDISON","NY ","14801","1324","6073592244","1-Local school district","42.102000","-77.231300","570101040000","Prekindergarten","12th Grade","New York","1136"
"ADIRONDACK CENTRAL SCHOOL DISTRICT","New York","3605040","ONEIDA COUNTY","36065","36","5","110 FORD ST","BOONVILLE","NY ","13309","1200","110 FORD ST","BOONVILLE","NY ","13309","1200","3159429200","1-Local school district","43.481100","-75.337400","410401060000","Prekindergarten","12th Grade","New York","1304"
"AFTON CENTRAL SCHOOL DISTRICT","New York","3602400","CHENANGO COUNTY","36017","36","2","29 ACADEMY ST","AFTON","NY ","13730","0005","PO BOX 5","AFTON","NY ","13730","0005","6076398229","1-Local school district","42.231400","-75.528400","080101040000","Prekindergarten","12th Grade","New York","584"
"AKRON CENTRAL SCHOOL DISTRICT","New York","3602430","ERIE COUNTY","36029","36","3","47 BLOOMINGDALE AVE","AKRON","NY ","14001","1197","47 BLOOMINGDALE AVE","AKRON","NY ","14001","1197","7165425006","1-Local school district","43.023300","-78.489900","142101040000","Kindergarten","12th Grade","New York","1442"
"ALBANY CITY SCHOOL DISTRICT","New York","3602460","ALBANY COUNTY","36001","36","15","ACADEMY PARK","ALBANY","NY ","12207","1099","ACADEMY PARK","ALBANY","NY ","12207","1099","5184756010","1-Local school district","42.654100","-73.755700","010100010000","Prekindergarten","12th Grade","New York","8595"
"ALBANY COMMUNITY CHARTER SCHOOL","New York","3600162","ALBANY COUNTY","36001","36","1","65 KRANK ST","ALBANY","NY ","12202","","65 KRANK ST","ALBANY","NY ","12202","","5184331500","7-Charter school agency","42.637400","-73.766300","010100860899","Kindergarten","7th Grade","New York","553"
"ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS","New York","3601006","ALBANY COUNTY","36001","36","1","19 HACKETT BLVD","ALBANY","NY ","12208","","19 HACKETT BLVD","ALBANY","NY ","12208","","5186945300","7-Charter school agency","42.646400","-73.775100","010100860960","9th Grade","12th Grade","New York","371"
"ALBANY PREPARATORY CHARTER SCHOOL","New York","3600130","ALBANY COUNTY","36001","36","0","75 PARK AVE","ALBANY","NY ","12202","","75 PARK AVE","ALBANY","NY ","12202","","5186945005","7-Charter school agency","42.645800","-73.761800","010100860884","†","†","New York","†"
"ALBANY-SCHOHARIE-SCHENECTADY-SARATOGA BOCES","New York","3680100","ALBANY COUNTY","36001","36","1","900 WATERVLIETSHAKER RDSTE 1","ALBANY","NY ","12205","","900 WATERVLIET-SHAKER RD-STE 1","ALBANY","NY ","12205","","5188624901","4-Regional education services agency","42.738800","-73.823300","019000000000","Ungraded","Ungraded","New York","506"
"ALBION CENTRAL SCHOOL DISTRICT","New York","3602520","ORLEANS COUNTY","36073","36","3","324 EAST AVE","ALBION","NY ","14411","1697","324 EAST AVE","ALBION","NY ","14411","1697","5855892056","1-Local school district","43.240400","-78.182100","450101060000","Prekindergarten","12th Grade","New York","2016"
"ALDEN CENTRAL SCHOOL DISTRICT","New York","3602550","ERIE COUNTY","36029","36","3","13190 PARK ST","ALDEN","NY ","14004","1099","13190 PARK ST","ALDEN","NY ","14004","1099","7169379116","1-Local school district","42.903000","-78.495500","140101060000","Kindergarten","12th Grade","New York","1728"
"ALEXANDER CENTRAL SCHOOL DISTRICT","New York","3602580","GENESEE COUNTY","36037","36","2","3314 BUFFALO ST","ALEXANDER","NY ","14005","9769","3314 BUFFALO ST","ALEXANDER","NY ","14005","9769","5855911551","1-Local school district","42.901900","-78.260400","180202040000","Prekindergarten","12th Grade","New York","856"
"ALEXANDRIA CENTRAL SCHOOL DISTRICT","New York","3602670","JEFFERSON COUNTY","36045","36","2","34 BOLTON AVE","ALEXANDRIA BAY","NY ","13607","1699","34 BOLTON AVE","ALEXANDRIA BAY","NY ","13607","1699","3154829971","1-Local school district","44.335000","-75.909900","220202040000","Prekindergarten","12th Grade","New York","620"
"ALFRED-ALMOND CENTRAL SCHOOL DISTRICT","New York","3602700","ALLEGANY COUNTY","36003","36","2","6795ROUTE 21","ALMOND","NY ","14804","9716","6795 RT 21","ALMOND","NY ","14804","9716","6072766500","1-Local school district","42.295700","-77.752800","020101040000","Prekindergarten","12th Grade","New York","691"
"ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT","New York","3600015","CATTARAUGUS COUNTY","36009","36","3","3131 FIVE MILE RD","ALLEGANY","NY ","14706","9627","3131 FIVE MILE RD","ALLEGANY","NY ","14706","9627","7163756600","1-Local school district","42.131500","-78.504400","040302060000","Prekindergarten","12th Grade","New York","1142"
"ALOMA D JOHNSON CHARTER SCHOOL","New York","3600970","ERIE COUNTY","36029","36","1","15 JEWETT PARKWAY","BUFFALO","NY ","14214","","15 JEWETT PKWY","BUFFALO","NY ","14214","","7168564390","7-Charter school agency","42.935100","-78.844400","140600860911","Kindergarten","4th Grade","New York","296"
"ALTMAR-PARISH-WILLIAMSTOWN CENTRAL SCHOOL DISTRICT","New York","3602820","OSWEGO COUNTY","36075","36","2","639 COUNTYROUTE 22","PARISH","NY ","13131","0097","PO BOX 97","PARISH","NY ","13131","0097","3156255251","1-Local school district","43.444200","-76.055900","460102040000","Prekindergarten","12th Grade","New York","1321"
"AMAGANSETT UNION FREE SCHOOL DISTRICT","New York","3602880","SUFFOLK COUNTY","36103","36","1","320 MAIN ST","AMAGANSETT","NY ","11930","7062","PO BOX 7062","AMAGANSETT","NY ","11930","7062","6312673572","1-Local school district","40.975900","-72.137800","580303020000","Prekindergarten","6th Grade","New York","108"
"AMANI PUBLIC CHARTER SCHOOL","New York","3601051","WESTCHESTER COUNTY","36119","36","1","261 EAST LINCOLN AVERM 7A","MT VERNON","NY ","10552","","261 E LINCOLN AVE-RM 7A","MT VERNON","NY ","10552","","9146686450","7-Charter school agency","40.918300","-73.828400","660900861000","5th Grade","7th Grade","New York","250"
"AMBER CHARTER SCHOOL","New York","3600039","NEW YORK COUNTY","36061","36","1","220 EAST 106TH ST","NEW YORK","NY ","10029","4020","220 E 106TH ST","NEW YORK","NY ","10029","4020","2125349667","7-Charter school agency","40.791300","-73.944200","310400860806","Kindergarten","5th Grade","New York","486"
"AMHERST CENTRAL SCHOOL DISTRICT","New York","3602920","ERIE COUNTY","36029","36","4","55 KINGS HWY","AMHERST","NY ","14226","4330","55 KINGS HWY","AMHERST","NY ","14226","4330","7163623051","1-Local school district","42.956500","-78.791200","140201060000","Prekindergarten","12th Grade","New York","2944"
"AMITYVILLE UNION FREE SCHOOL DISTRICT","New York","3602940","SUFFOLK COUNTY","36103","36","5","150 PARK AVE","AMITYVILLE","NY ","11701","3195","150 PARK AVE","AMITYVILLE","NY ","11701","3195","6315656019","1-Local school district","40.676800","-73.418000","580106030000","Prekindergarten","12th Grade","New York","3193"
"AMSTERDAM CITY SCHOOL DISTRICT","New York","3602970","MONTGOMERY COUNTY","36057","36","6","11 LIBERTY ST","AMSTERDAM","NY ","12010","0670","11 LIBERTY ST","AMSTERDAM","NY ","12010","0670","5188433180","1-Local school district","42.936200","-74.188500","270100010000","Prekindergarten","12th Grade","New York","3770"
