"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"A+ ARTS ACADEMY","Ohio","3900305","FRANKLIN COUNTY","39049","39","1","270 SOUTH NAPOLEON AVE","COLUMBUS","OH ","43213","4235","270 S NAPOLEON AVE","COLUMBUS","OH ","43213","4235","6143380767","7-Charter school agency","39.967000","-82.905200","000556","Kindergarten","8th Grade","Ohio","383"
"A+ CHILDREN'S ACADEMY","Ohio","3901480","FRANKLIN COUNTY","39049","39","1","100 OBETZ RD","COLUMBUS","OH ","43207","4031","100 OBETZ RD","COLUMBUS","OH ","43207","4031","6144918502","7-Charter school agency","39.882300","-82.997900","013232","Kindergarten","6th Grade","Ohio","104"
"A.B. GRAHAM ACADEMY","Ohio","3901358","CHAMPAIGN COUNTY","39021","39","1","370 EAST MAIN ST","SAINT PARIS","OH ","43072","9200","370 E MAIN ST","SAINT PARIS","OH ","43072","9200","9376630370","7-Charter school agency","40.127700","-83.953200","011470","Kindergarten","12th Grade","Ohio","274"
"ACADEMY FOR URBAN SCHOLARS YOUNGSTOWN","Ohio","3901472","MAHONING COUNTY","39099","39","1","1350 5TH AVE","YOUNGSTOWN","OH ","44504","1765","1350 5TH AVE STE 100 106","YOUNGSTOWN","OH ","44504","1765","3307449070","7-Charter school agency","41.118200","-80.652000","013249","9th Grade","9th Grade","Ohio","89"
"ACADEMY OF ARTS AND SCIENCES","Ohio","3900594","LORAIN COUNTY","39093","39","1","201 WEST ERIE AVE","LORAIN","OH ","44052","1641","201 W ERIE AVE","LORAIN","OH ","44052","1641","4402440156","7-Charter school agency","41.467800","-82.178800","008064","Kindergarten","2nd Grade","Ohio","264"
"ACADEMY OF COLUMBUS","Ohio","3900438","FRANKLIN COUNTY","39049","39","0","4656 HEATON RD","COLUMBUS","OH ","43229","6612","4656 HEATON RD","COLUMBUS","OH ","43229","6612","6144337510","7-Charter school agency","40.062900","-82.966300","000784","Kindergarten","8th Grade","Ohio","†"
"ACADEMY OF EDUCATIONAL EXCELLENCE","Ohio","3901502","LUCAS COUNTY","39095","39","1","4747 HEATHERDOWNS BLVD","TOLEDO","OH ","43614","","4747 HEATHERDOWNS BLVD.","TOLEDO","OH ","43614","","4193822280","7-Charter school agency","41.592300","-83.653600","013195","Kindergarten","4th Grade","Ohio","82"
"ACADEMY OF NEW MEDIA MIDDLE","Ohio","3901425","FRANKLIN COUNTY","39049","39","0","43 SOUTH DOUGLASS ST","COLUMBUS","OH ","43205","1148","2202 S HAMILTON RD","COLUMBUS","OH ","43232","4304","6142524441","7-Charter school agency","39.963800","-82.977900","012090","6th Grade","8th Grade","Ohio","†"
"ACCELERATED ACHIEVEMENT ACADEMY OF EAST CINCINNATI","Ohio","3901460","HAMILTON COUNTY","39061","39","1","415 WEST COURT ST","CINCINNATI","OH ","45203","1519","415 W COURT ST","CINCINNATI","OH ","45203","1519","5132464102","7-Charter school agency","39.105100","-84.521000","012624","9th Grade","12th Grade","Ohio","211"
"ACCELERATED ACHIEVEMENT ACADEMY OF NORTH CINCINNATI","Ohio","3901440","HAMILTON COUNTY","39061","39","1","2712 VINE ST","CINCINNATI","OH ","45219","2019","2712 VINE ST","CINCINNATI","OH ","45219","2019","5132464260","7-Charter school agency","39.131000","-84.509000","012683","9th Grade","12th Grade","Ohio","159"
