"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"ACHILLE","Oklahoma","4002370","BRYAN COUNTY","40013","40","2","101 NORTH 5TH AVE","ACHILLE","OK ","74720","4720","POST OFFICE BOX 280","ACHILLE","OK ","74720","4720","5802833775","1-Local school district","33.835600","-96.392900","07-I003","Prekindergarten","12th Grade","Oklahoma","302"
"ADA","Oklahoma","4002430","PONTOTOC COUNTY","40123","40","6","324 WEST 20TH","ADA","OK ","74821","4821","POST OFFICE BOX 1359","ADA","OK ","74821","4821","5803107200","1-Local school district","34.773400","-96.677400","62-I019","Prekindergarten","12th Grade","Oklahoma","2686"
"ADAIR","Oklahoma","4002460","MAYES COUNTY","40097","40","3","202 SE 1ST ST","ADAIR","OK ","74330","4330","POST OFFICE BOX 197","ADAIR","OK ","74330","4330","9187852424","1-Local school district","36.435100","-95.268900","46-I002","Prekindergarten","12th Grade","Oklahoma","1046"
"AFTON","Oklahoma","4002520","OTTAWA COUNTY","40115","40","2","410 SOUTH MAIN","AFTON","OK ","74331","4331","POST OFFICE BOX 100","AFTON","OK ","74331","4331","9182578303","1-Local school district","36.689300","-94.959700","58-I026","Prekindergarten","12th Grade","Oklahoma","534"
"AGRA","Oklahoma","4002550","LINCOLN COUNTY","40081","40","2","112 SOUTH MAIN","AGRA","OK ","74824","4824","POST OFFICE BOX 279","AGRA","OK ","74824","4824","9183752261","1-Local school district","35.895200","-96.872500","41-I134","Prekindergarten","12th Grade","Oklahoma","430"
"ALBION","Oklahoma","4002580","PUSHMATAHA COUNTY","40127","40","1","HWY 271 SOUTH","ALBION","OK ","74521","4521","POST OFFICE BOX 100","ALBION","OK ","74521","4521","9185634331","1-Local school district","34.662900","-95.099900","64-C002","Prekindergarten","8th Grade","Oklahoma","80"
"ALEX","Oklahoma","4002670","GRADY COUNTY","40051","40","2","209 SOUTH 2ND ST","ALEX","OK ","73002","3002","POST OFFICE BOX 188","ALEX","OK ","73002","3002","4057852605","1-Local school district","34.916700","-97.777500","26-I056","Prekindergarten","12th Grade","Oklahoma","318"
"ALEXIS RAINBOW (CHARTER)","Oklahoma","4000756","OKLAHOMA COUNTY","40109","40","1","1829 NE 36TH ST","OKLAHOMA CITY","OK ","73134","3134","1829 NE 36TH ST","OKLAHOMA CITY","OK ","73134","3134","4056048727","7-Charter school agency","35.508700","-97.479400","55-G003","Prekindergarten","Kindergarten","Oklahoma","46"
"ALINE-CLEO","Oklahoma","4002720","ALFALFA COUNTY","40003","40","2","301 EAST ASH","ALINE","OK ","73716","0049","POST OFFICE BOX 49","ALINE","OK ","73716","0049","5804632255","1-Local school district","36.511800","-98.446900","44-I004","Prekindergarten","12th Grade","Oklahoma","155"
"ALLEN","Oklahoma","4002760","PONTOTOC COUNTY","40123","40","2","110 NORTH RICHMOND AVE","ALLEN","OK ","74825","4825","POST OFFICE BOX 430","ALLEN","OK ","74825","4825","5808572417","1-Local school district","34.879000","-96.413300","62-I001","Prekindergarten","12th Grade","Oklahoma","474"
