"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"ADEL SD 21","Oregon","4100990","LAKE COUNTY","41037","41","1","357 NORTH L ST","LAKEVIEW","OR ","97630","1232","357 N  L  ST","LAKEVIEW","OR ","97630","1232","5419475418","1-Local school district","42.193000","-120.353400","00000000002063","1st Grade","11th Grade","Oregon","13"
"ADRIAN SD 61","Oregon","4101020","MALHEUR COUNTY","41045","41","2","305 OWYHEE ST","ADRIAN","OR ","97901","0108","PO BOX 108","ADRIAN","OR ","97901","0108","5413722335","1-Local school district","43.742400","-117.067500","00000000002113","Kindergarten","12th Grade","Oregon","235"
"ALSEA SD 7J","Oregon","4101200","BENTON COUNTY","41003","41","2","301 SOUTH THIRD","ALSEA","OR ","97324","0120","PO BOX B","ALSEA","OR ","97324","0120","5414874305","1-Local school district","44.381300","-123.594600","00000000001899","Kindergarten","12th Grade","Oregon","153"
"AMITY SD 4J","Oregon","4101230","YAMHILL COUNTY","41071","41","4","807 SOUTH TRADE ST","AMITY","OR ","97101","2819","807 S TRADE ST","AMITY","OR ","97101","2819","5038352171","1-Local school district","45.113400","-123.206300","00000000002252","Kindergarten","12th Grade","Oregon","917"
"ANNEX SD 29","Oregon","4101350","MALHEUR COUNTY","41045","41","1","402 ANNEX RD","ONTARIO","OR ","97914","8010","402 ANNEX RD","ONTARIO","OR ","97914","8010","5412623280","7-Charter school agency","44.237400","-116.987100","00000000002111","Kindergarten","11th Grade","Oregon","77"
"ARLINGTON SD 3","Oregon","4101470","GILLIAM COUNTY","41021","41","1","1200 MAIN ST","ARLINGTON","OR ","97812","0010","PO BOX 10","ARLINGTON","OR ","97812","0010","5414542632","7-Charter school agency","45.712500","-120.200500","00000000002005","Kindergarten","12th Grade","Oregon","155"
"AROCK SD 81","Oregon","4101500","MALHEUR COUNTY","41045","41","1","3513 AROCK RD","AROCK","OR ","97902","0131","C/O MALHEUR ESD","VALE","OR ","97918","0131","5415862325","1-Local school district","42.914000","-117.525200","00000000002115","Kindergarten","8th Grade","Oregon","8"
"ASHLAND SD 5","Oregon","4101560","JACKSON COUNTY","41029","41","6","885 SISKIYOU BLVD","ASHLAND","OR ","97520","2197","885 SISKIYOU BLVD","ASHLAND","OR ","97520","2197","5414822811","1-Local school district","42.189700","-122.700100","00000000002041","Kindergarten","12th Grade","Oregon","2801"
"ASHWOOD SD 8","Oregon","4101590","JEFFERSON COUNTY","41031","41","1","18624 NE MAIN","ASHWOOD","OR ","97711","9600","18624 NE MAIN","ASHWOOD","OR ","97711","0002","5414893433","1-Local school district","44.768800","-120.760900","00000000002051","Kindergarten","12th Grade","Oregon","7"
"ASTORIA SD 1","Oregon","4101620","CLATSOP COUNTY","41007","41","4","785 ALAMEDA AVE","ASTORIA","OR ","97103","5947","785 ALAMEDA AVE","ASTORIA","OR ","97103","5947","5033256441","1-Local school district","46.181300","-123.852400","00000000001933","Kindergarten","12th Grade","Oregon","1936"
