"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"ACHIEVEMENT FIRST RHODE ISLAND","Rhode Island","4400021","PROVIDENCE COUNTY","44007","44","1","370 HARTFORD AVE","PROVIDENCE","RI ","02909","","370 HARTFORD AVENUE","PROVIDENCE","RI ","02909","","4013180221","7-Charter school agency","41.817400","-71.456200","41","Kindergarten","1st Grade","Rhode Island","180"
"BARRINGTON","Rhode Island","4400030","BRISTOL COUNTY","44001","44","6","283 COUNTY RD","BARRINGTON","RI ","02806","","283 COUNTY ROAD","BARRINGTON","RI ","02806","","4012455000","1-Local school district","41.740000","-71.308000","01","Prekindergarten","12th Grade","Rhode Island","3334"
"BEACON CHARTER SCHOOL","Rhode Island","4400008","PROVIDENCE COUNTY","44007","44","1","320 MAIN ST","WOONSOCKET","RI ","02895","","320 MAIN STREET","WOONSOCKET","RI ","02895","","4016716261","7-Charter school agency","42.005100","-71.513000","58","9th Grade","12th Grade","Rhode Island","227"
"BLACKSTONE ACADEMY","Rhode Island","4400036","PROVIDENCE COUNTY","44007","44","1","334 PLEASANT ST","PAWTUCKET","RI ","02860","","334 PLEASANT STREET","PAWTUCKET","RI ","02860","","4017261750","7-Charter school agency","41.869000","-71.384800","54","9th Grade","12th Grade","Rhode Island","168"
"BLACKSTONE VALLEY PREP, A RI MAYORAL ACADEMY","Rhode Island","4400015","PROVIDENCE COUNTY","44007","44","4","291 BROAD ST","CUMBERLAND","RI ","02864","","291 BROAD ST.","CUMBERLAND","RI ","02864","","4013353133","7-Charter school agency","41.906100","-71.392300","47","Kindergarten","8th Grade","Rhode Island","966"
"BRISTOL WARREN","Rhode Island","4400065","BRISTOL COUNTY","44001","44","6","151 STATE ST","BRISTOL","RI ","02809","","151 STATE STREET","BRISTOL","RI ","02809","","4012534000","4-Regional education services agency","41.671300","-71.272500","96","Prekindergarten","12th Grade","Rhode Island","3429"
"BURRILLVILLE","Rhode Island","4400090","PROVIDENCE COUNTY","44007","44","5","2300 BRONCO HWY","HARRISVILLE","RI ","02830","","2300 BRONCO HIGHWAY","HARRISVILLE","RI ","02830","","4015681301","1-Local school district","41.982100","-71.623400","03","Prekindergarten","12th Grade","Rhode Island","2401"
"CENTRAL FALLS","Rhode Island","4400120","PROVIDENCE COUNTY","44007","44","6","949 DEXTER ST","CENTRAL FALLS","RI ","02863","","949 DEXTER ST.","CENTRAL FALLS","RI ","02863","","4017277700","1-Local school district","41.889700","-71.399400","04","Prekindergarten","12th Grade","Rhode Island","2694"
"CHARIHO","Rhode Island","4400150","WASHINGTON COUNTY","44009","44","8","455A SWITCH RD","WOOD RIVER JUNCTION","RI ","02894","","455A SWITCH ROAD","WOOD RIVER JUNCTION","RI ","02894","","4013647575","4-Regional education services agency","41.449200","-71.694900","98","Prekindergarten","12th Grade","Rhode Island","3427"
"COVENTRY","Rhode Island","4400210","KENT COUNTY","44003","44","8","1675 FLAT RIVER RD","COVENTRY","RI ","02816","","1675 FLAT RIVER ROAD","COVENTRY","RI ","02816","","4018229400","1-Local school district","41.701600","-71.591600","06","Prekindergarten","12th Grade","Rhode Island","4992"
"CRANSTON","Rhode Island","4400240","PROVIDENCE COUNTY","44007","44","24","845 PARK AVE","CRANSTON","RI ","02910","","845 PARK AVENUE","CRANSTON","RI ","02910","","4012708170","1-Local school district","41.779000","-71.435800","07","Prekindergarten","12th Grade","Rhode Island","10552"
"CUMBERLAND","Rhode Island","4400270","PROVIDENCE COUNTY","44007","44","9","2602 MENDON RD","CUMBERLAND","RI ","02864","","2602 MENDON ROAD","CUMBERLAND","RI ","02864","","4016581600","1-Local school district","41.965000","-71.447000","08","Prekindergarten","12th Grade","Rhode Island","4531"
"DAVIES CAREER AND TECH","Rhode Island","4400004","PROVIDENCE COUNTY","44007","44","1","50 JENCKES HILL RD","LINCOLN","RI ","02865","","50 JENCKES HILL ROAD","LINCOLN","RI ","02865","","4017281500","5-State-operated institution","41.902200","-71.456500","40","9th Grade","12th Grade","Rhode Island","849"
"DCYF","Rhode Island","4400009","PROVIDENCE COUNTY","44007","44","1","101 FRIENDSHIP ST","PROVIDENCE","RI ","02903","","101 FRIENDSHIP STREET","PROVIDENCE","RI ","02903","","4015283576","5-State-operated institution","41.820500","-71.410900","67","8th Grade","12th Grade","Rhode Island","65"
"EAST BAY EDUCATIONAL COLLABORATIVE","Rhode Island","4400026","BRISTOL COUNTY","44001","44","0","317 MARKET ST","WARREN","RI ","02885","","317 MARKET STREET","WARREN","RI ","02885","","4012454998","1-Local school district","41.740100","-71.272700","77","†","†","Rhode Island","†"
"EAST GREENWICH","Rhode Island","4400300","KENT COUNTY","44003","44","6","111 PEIRCE ST","EAST GREENWICH","RI ","02818","","111 PEIRCE STREET","EAST GREENWICH","RI ","02818","","4013981201","1-Local school district","41.660800","-71.451100","09","Prekindergarten","12th Grade","Rhode Island","2410"
"EAST PROVIDENCE","Rhode Island","4400330","PROVIDENCE COUNTY","44007","44","12","145 TAUNTON AVE","EAST PROVIDENCE","RI ","02914","","145 TAUNTON AVENUE","EAST PROVIDENCE","RI ","02914","","4014314640","1-Local school district","41.819400","-71.376000","10","Prekindergarten","12th Grade","Rhode Island","5321"
"EXETER-WEST GREENWICH","Rhode Island","4400360","KENT COUNTY","44003","44","5","940 NOOSENECK HILL RD","WEST GREENWICH","RI ","02817","","940 NOOSENECK HILL ROAD","WEST GREENWICH","RI ","02817","","4013975125","4-Regional education services agency","41.607700","-71.636400","97","Prekindergarten","12th Grade","Rhode Island","1648"
"FOSTER","Rhode Island","4400390","PROVIDENCE COUNTY","44007","44","1","160 FOSTER CTR RD/ISAAC","FOSTER","RI ","02825","","160 FOSTER CTR RD/ISAAC","FOSTER","RI ","02825","","4016475100","1-Local school district","41.813700","-71.732600","12","Kindergarten","5th Grade","Rhode Island","272"
"FOSTER-GLOCESTER","Rhode Island","4400420","PROVIDENCE COUNTY","44007","44","2","91 ANAN WADE RD","NORTH SCITUATE","RI ","02857","","91 ANAN WADE ROAD","NORTH SCITUATE","RI ","02857","","4017107500","4-Regional education services agency","41.865900","-71.712500","99","6th Grade","12th Grade","Rhode Island","1153"
"GLOCESTER","Rhode Island","4400450","PROVIDENCE COUNTY","44007","44","2","GLOCESTER TOWN HALL","CHEPACHET","RI ","02814","","GLOCESTER TOWN HALL","CHEPACHET","RI ","02814","","4015684160","1-Local school district","41.895600","-71.690000","13","Prekindergarten","5th Grade","Rhode Island","529"
"HIGHLANDER","Rhode Island","4400031","PROVIDENCE COUNTY","44007","44","1","42 LEXINGTON AVE","PROVIDENCE","RI ","02907","","42 LEXINGTON AVENUE","PROVIDENCE","RI ","02907","","4012772600","7-Charter school agency","41.799300","-71.418100","48","Prekindergarten","9th Grade","Rhode Island","352"
