"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"ABBEVILLE 60","South Carolina","4500690","ABBEVILLE COUNTY","45001","45","9","400 GREENVILLE ST","ABBEVILLE","SC ","29620","1556","400 GREENVILLE STREET","ABBEVILLE","SC ","29620","1556","8643665427","1-Local school district","34.184600","-82.381000","0160","Prekindergarten","12th Grade","South Carolina","3131"
"AIKEN 01","South Carolina","4500720","AIKEN COUNTY","45003","45","40","1000 BROOKHAVEN DR","AIKEN","SC ","29803","1137","1000 BROOKHAVEN DRIVE","AIKEN","SC ","29803","1137","8036412430","1-Local school district","33.502000","-81.711100","0201","Prekindergarten","12th Grade","South Carolina","24716"
"ALLENDALE 01","South Carolina","4500750","ALLENDALE COUNTY","45005","45","4","3249 ALLENDALEFAIRFAX HWY","FAIRFAX","SC ","29827","0458","P.O. BOX 458","ALLENDALE","SC ","29810","0458","8035844603","1-Local school district","32.982500","-81.271400","0301","Prekindergarten","12th Grade","South Carolina","1313"
"ANDERSON 01","South Carolina","4500780","ANDERSON COUNTY","45007","45","14","801 NORTH HAMILTON ST","WILLIAMSTON","SC ","29697","0099","P.O. BOX 99","WILLIAMSTON","SC ","29697","0099","8648477344","1-Local school district","34.629000","-82.476100","0401","Prekindergarten","12th Grade","South Carolina","9445"
"ANDERSON 02","South Carolina","4500810","ANDERSON COUNTY","45007","45","7","10990 BELTONHONEA PATH HWY","HONEA PATH","SC ","29654","0266","10990 BELTON-HONEA PATH HWY.","HONEA PATH","SC ","29654","0266","8643697364","1-Local school district","34.475700","-82.444600","0402","Prekindergarten","12th Grade","South Carolina","3736"
"ANDERSON 03","South Carolina","4500840","ANDERSON COUNTY","45007","45","5","335 WEST FRONT ST","IVA","SC ","29655","0118","P.O. BOX 118","IVA","SC ","29655","0118","8643486196","1-Local school district","34.302900","-82.666600","0403","Prekindergarten","12th Grade","South Carolina","2587"
"ANDERSON 04","South Carolina","4500870","ANDERSON COUNTY","45007","45","6","315 EAST QUEEN ST","PENDLETON","SC ","29670","0545","P.O. BOX 545","PENDLETON","SC ","29670","0545","8644032000","1-Local school district","34.651800","-82.777100","0404","Prekindergarten","12th Grade","South Carolina","2928"
"ANDERSON 05","South Carolina","4500900","ANDERSON COUNTY","45007","45","22","400 PEARMAN DAIRY RD","ANDERSON","SC ","29625","","P.O. BOX 439","ANDERSON","SC ","29622","","8642605000","1-Local school district","34.510900","-82.687700","0405","Prekindergarten","12th Grade","South Carolina","12792"
"ANDERSON 80","South Carolina","4500760","ANDERSON COUNTY","45007","45","1","702 BELTON HWY","WILLIAMSTON","SC ","29697","9520","702 BELTON HIGHWAY","WILLIAMSTON","SC ","29697","9520","8648474121","4-Regional education services agency","34.605100","-82.500200","0480","9th Grade","12th Grade","South Carolina","0"
"BAMBERG 01","South Carolina","4500930","BAMBERG COUNTY","45009","45","3","3830 FAUST ST","BAMBERG","SC ","29003","0526","3830 FAUST STREET","BAMBERG","SC ","29003","0526","8032453053","1-Local school district","33.302400","-81.023800","0501","Prekindergarten","12th Grade","South Carolina","1430"
