"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"ABERDEEN SCHOOL DISTRICT 06-1","South Dakota","4602070","BROWN COUNTY","46013","46","10","1224 3RD ST SOUTH","ABERDEEN","SD ","57401","6920","1224 3RD ST S","ABERDEEN","SD ","57401","6920","6057257111","1-Local school district","45.452500","-98.492400","06001","Kindergarten","12th Grade","South Dakota","4237"
"AGAR-BLUNT-ONIDA SCHOOL DISTRICT 58-3","South Dakota","4600042","SULLY COUNTY","46119","46","4","500 8TH ST","ONIDA","SD ","57564","0205","PO BOX 205","ONIDA","SD ","57564","0205","6052582618","1-Local school district","44.702900","-100.064400","58003","Prekindergarten","12th Grade","South Dakota","275"
"ALCESTER-HUDSON SCHOOL DISTRICT 61-1","South Dakota","4600028","UNION COUNTY","46127","46","3","102 EAST 5TH","ALCESTER","SD ","57001","0198","PO BOX 198","ALCESTER","SD ","57001","0198","6059341890","1-Local school district","43.024800","-96.630800","61001","Prekindergarten","12th Grade","South Dakota","337"
"ANDES CENTRAL SCHOOL DISTRICT 11-1","South Dakota","4639540","CHARLES MIX COUNTY","46023","46","4","400 SCHOOL ST","LAKE ANDES","SD ","57356","0040","PO BOX 40","LAKE ANDES","SD ","57356","0040","6054877671","1-Local school district","43.159700","-98.540000","11001","Prekindergarten","12th Grade","South Dakota","363"
"ARLINGTON SCHOOL DISTRICT 38-1","South Dakota","4603720","KINGSBURY COUNTY","46077","46","3","306 SOUTH MAIN","ARLINGTON","SD ","57212","2074","PO BOX 359","ARLINGTON","SD ","57212","2074","6059835597","1-Local school district","44.361600","-97.137100","38001","Prekindergarten","12th Grade","South Dakota","303"
"ARMOUR SCHOOL DISTRICT 21-1","South Dakota","4603780","DOUGLAS COUNTY","46043","46","3","604 3RD ST","ARMOUR","SD ","57313","0640","PO BOX 640","ARMOUR","SD ","57313","0640","6057242698","1-Local school district","43.319900","-98.347700","21001","Prekindergarten","12th Grade","South Dakota","166"
"AVON SCHOOL DISTRICT 04-1","South Dakota","4604270","BON HOMME COUNTY","46009","46","4","210 PINE ST","AVON","SD ","57315","0407","PO BOX 407","AVON","SD ","57315","0407","6052863291","1-Local school district","43.005200","-98.057300","04001","Prekindergarten","12th Grade","South Dakota","273"
"BALTIC SCHOOL DISTRICT 49-1","South Dakota","4604680","MINNEHAHA COUNTY","46099","46","3","ONE BULLDOG AVE","BALTIC","SD ","57003","0309","PO BOX 309","BALTIC","SD ","57003","0309","6055295464","1-Local school district","43.759000","-96.733600","49001","Prekindergarten","12th Grade","South Dakota","463"
"BELLE FOURCHE SCHOOL DISTRICT 09-1","South Dakota","4605610","BUTTE COUNTY","46019","46","5","2305 13TH AVE","BELLE FOURCHE","SD ","57717","2404","2305 13TH AVE","BELLE FOURCHE","SD ","57717","2404","6057233355","1-Local school district","44.648800","-103.841900","09001","Kindergarten","12th Grade","South Dakota","1404"
"BENNETT COUNTY SCHOOL DISTRICT 03-1","South Dakota","4606240","BENNETT COUNTY","46007","46","3","402 2ND AVE","MARTIN","SD ","57551","0580","PO BOX 580","MARTIN","SD ","57551","0580","6056856112","1-Local school district","43.176700","-101.733400","03001","Prekindergarten","12th Grade","South Dakota","504"
"BERESFORD SCHOOL DISTRICT 61-2","South Dakota","4606360","UNION COUNTY","46127","46","3","301 WEST MAPLE ST","BERESFORD","SD ","57004","2160","301 W MAPLE ST","BERESFORD","SD ","57004","2160","6057634293","1-Local school district","43.076300","-96.777000","61002","Kindergarten","12th Grade","South Dakota","649"
"BIG STONE CITY SCHOOL DISTRICT 25-1","South Dakota","4606960","GRANT COUNTY","46051","46","3","655 WALNUT ST","BIG STONE CITY","SD ","57216","2146","655 WALNUT ST","BIG STONE CITY","SD ","57216","2146","6058628108","1-Local school district","45.294200","-96.465000","25001","Prekindergarten","12th Grade","South Dakota","146"
"BISON SCHOOL DISTRICT 52-1","South Dakota","4607050","PERKINS COUNTY","46105","46","3","200 EAST CARR ST","BISON","SD ","57620","0009","PO BOX 9","BISON","SD ","57620","0009","6052445271","1-Local school district","45.524300","-102.463300","52001","Kindergarten","12th Grade","South Dakota","143"
"BLACK HILLS SPECIAL SERVICES COOPERATIVE","South Dakota","4680120","MEADE COUNTY","46093","46","2","2885 DICKSON DR","STURGIS","SD ","57785","0218","PO BOX 218","STURGIS","SD ","57785","0218","6053474467","4-Regional education services agency","44.392800","-103.501600","40201","Prekindergarten","12th Grade","South Dakota","63"
"BON HOMME SCHOOL DISTRICT 04-2","South Dakota","4607400","BON HOMME COUNTY","46009","46","8","1404 FIR ST","TYNDALL","SD ","57066","0028","PO BOX 28","TYNDALL","SD ","57066","0028","6055893388","1-Local school district","42.989300","-97.868200","04002","Prekindergarten","12th Grade","South Dakota","553"
"BOWDLE SCHOOL DISTRICT 22-1","South Dakota","4607800","EDMUNDS COUNTY","46045","46","3","3083 2ND AVE","BOWDLE","SD ","57428","0563","PO BOX 563","BOWDLE","SD ","57428","0563","6052856272","1-Local school district","45.450800","-99.652300","22001","Kindergarten","12th Grade","South Dakota","128"
"BRANDON VALLEY SCHOOL DISTRICT 49-2","South Dakota","4607950","MINNEHAHA COUNTY","46099","46","6","300 SOUTH SPLITROCK BLVD","BRANDON","SD ","57005","1651","300 S SPLITROCK BLVD","BRANDON","SD ","57005","1651","6055822049","1-Local school district","43.592000","-96.571300","49002","Prekindergarten","12th Grade","South Dakota","3549"
"BRIDGEWATER-EMERY 30-3","South Dakota","4621420","MCCOOK COUNTY","46087","46","4","510 NORTH MAIN","BRIDGEWATER","SD ","57319","0350","PO BOX 350","BRIDGEWATER","SD ","57319","0350","6057292541","1-Local school district","43.552900","-97.502200","30003","Kindergarten","12th Grade","South Dakota","332"
"BRITTON-HECLA SCHOOL DISTRICT 45-4","South Dakota","4600041","MARSHALL COUNTY","46091","46","5","759 5TH ST","BRITTON","SD ","57430","0190","PO BOX 190","BRITTON","SD ","57430","0190","6054482234","1-Local school district","45.794400","-97.750900","45004","Prekindergarten","12th Grade","South Dakota","460"
"BROOKINGS SCHOOL DISTRICT 05-1","South Dakota","4608520","BROOKINGS COUNTY","46011","46","5","2130 8TH ST SOUTH","BROOKINGS","SD ","57006","3507","2130 8TH ST S","BROOKINGS","SD ","57006","3507","6056964700","1-Local school district","44.296600","-96.769000","05001","Kindergarten","12th Grade","South Dakota","3182"
"BURKE SCHOOL DISTRICT 26-2","South Dakota","4609512","GREGORY COUNTY","46053","46","3","900 WASHINGTON ST","BURKE","SD ","57523","0382","PO BOX 382","BURKE","SD ","57523","0382","6057752644","1-Local school district","43.181400","-99.290700","26002","Prekindergarten","12th Grade","South Dakota","211"
"CANISTOTA SCHOOL DISTRICT 43-1","South Dakota","4610320","MCCOOK COUNTY","46087","46","3","431 4TH AVE","CANISTOTA","SD ","57012","0008","PO BOX 8","CANISTOTA","SD ","57012","0008","6052963458","1-Local school district","43.597300","-97.294200","43001","Kindergarten","12th Grade","South Dakota","216"
"CANTON SCHOOL DISTRICT 41-1","South Dakota","4610560","LINCOLN COUNTY","46083","46","3","800 NORTH MAIN","CANTON","SD ","57013","1299","800 N MAIN","CANTON","SD ","57013","1299","6057642706","1-Local school district","43.307600","-96.591500","41001","Kindergarten","12th Grade","South Dakota","850"
"CASTLEWOOD SCHOOL DISTRICT 28-1","South Dakota","4611280","HAMLIN COUNTY","46057","46","4","310 EAST HARRY ST","CASTLEWOOD","SD ","57223","2063","310 E HARRY ST","CASTLEWOOD","SD ","57223","2063","6057932497","1-Local school district","44.724900","-97.028600","28001","Prekindergarten","12th Grade","South Dakota","266"
"CENTERVILLE SCHOOL DISTRICT 60-1","South Dakota","4611760","TURNER COUNTY","46125","46","3","610 LINCOLN ST","CENTERVILLE","SD ","57014","0100","PO BOX 100","CENTERVILLE","SD ","57014","0100","6055632291","1-Local school district","43.118300","-96.957200","60001","Prekindergarten","12th Grade","South Dakota","247"
"CHAMBERLAIN SCHOOL DISTRICT 07-1","South Dakota","4612000","BRULE COUNTY","46015","46","4","301 EAST KELLAM AVE","CHAMBERLAIN","SD ","57325","0119","PO BOX 119","CHAMBERLAIN","SD ","57325","0119","6052344477","1-Local school district","43.806900","-99.329900","07001","Kindergarten","12th Grade","South Dakota","902"
"CHESTER AREA SCHOOL DISTRICT 39-1","South Dakota","4612300","LAKE COUNTY","46079","46","6","102 2ND AVE","CHESTER","SD ","57016","0159","PO BOX 159","CHESTER","SD ","57016","0159","6054892416","1-Local school district","43.901200","-96.928900","39001","Prekindergarten","12th Grade","South Dakota","618"
"CLARK SCHOOL DISTRICT 12-2","South Dakota","4612940","CLARK COUNTY","46025","46","6","220 NORTH CLINTON","CLARK","SD ","57225","1318","220 N CLINTON","CLARK","SD ","57225","1318","6055323603","1-Local school district","44.879000","-97.741600","12002","Prekindergarten","12th Grade","South Dakota","391"
"COLMAN-EGAN SCHOOL DISTRICT 50-5","South Dakota","4614100","MOODY COUNTY","46101","46","3","200 SOUTH LOBAN","COLMAN","SD ","57017","0239","PO BOX I","COLMAN","SD ","57017","0239","6055343534","1-Local school district","43.981300","-96.810100","50005","Prekindergarten","12th Grade","South Dakota","246"
"COLOME CONSOLIDATED 59-3","South Dakota","4614130","TRIPP COUNTY","46123","46","5","105 CARR ST","COLOME","SD ","57528","0367","PO BOX 367","COLOME","SD ","57528","0367","6058421624","1-Local school district","43.262000","-99.718200","59003","Kindergarten","12th Grade","South Dakota","250"
"CORNBELT EDUCATIONAL COOPERATIVE","South Dakota","4616150","MINNEHAHA COUNTY","46099","46","0","715 EAST 14TH ST","SIOUX FALLS","SD ","57104","5151","715 E 14TH ST","SIOUX FALLS","SD ","57104","5151","6052710218","4-Regional education services agency","43.541500","-96.717300","60201","†","†","South Dakota","†"
"CORRECTIONAL FACILITIES","South Dakota","4680443","HUGHES COUNTY","46065","46","0","801 GOVERNORS DR","PIERRE","SD ","57501","2294","800 GOVERNORS DRIVE","PIERRE","SD ","57501","2294","6057733248","5-State-operated institution","44.373800","-100.339200","90090","†","†","South Dakota","†"
