"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"ACHIEVEMENT SCHOOL DISTRICT","Tennessee","4700147","DAVIDSON COUNTY","47037","47","17","710 JAMES ROBERTSON PW","NASHVILLE","TN ","37243","0381","710 JAMES ROBERTSON PW","NASHVILLE","TN ","37243","0381","6152534176","1-Local school district","36.168000","-86.787200","985","Prekindergarten","12th Grade","Tennessee","4064"
"ALAMO","Tennessee","4700030","CROCKETT COUNTY","47033","47","1","264 EAST PARK ST","ALAMO","TN ","38001","1723","264 EAST  PARK ST","ALAMO","TN ","38001","1723","7316965515","1-Local school district","35.783700","-89.112400","171","Prekindergarten","6th Grade","Tennessee","654"
"ALCOA","Tennessee","4700060","BLOUNT COUNTY","47009","47","3","524 FARADAY ST","ALCOA","TN ","37701","2098","524 FARADAY ST","ALCOA","TN ","37701","2098","8659840531","1-Local school district","35.792700","-83.980700","051","Prekindergarten","12th Grade","Tennessee","1869"
"ALVIN C YORK INSTITUTE","Tennessee","4700144","FENTRESS COUNTY","47049","47","1","1838 NORTH PW","JAMESTOWN","TN ","38556","","701 NORTH MAIN ST","JAMESTOWN","TN ","38556","","9318798101","1-Local school district","36.418600","-84.922000","961","9th Grade","12th Grade","Tennessee","620"
"ANDERSON COUNTY","Tennessee","4700090","ANDERSON COUNTY","47001","47","18","STE 500 101 SOUTH MAIN","CLINTON","TN ","37716","3619","SUITE 500  101 SOUTH MAIN","CLINTON","TN ","37716","3619","8654638631","1-Local school district","36.099600","-84.133800","010","Prekindergarten","12th Grade","Tennessee","6691"
"ATHENS","Tennessee","4700120","MCMINN COUNTY","47107","47","5","943 CRESTWAY DR","ATHENS","TN ","37303","4130","943  CRESTWAY  DR","ATHENS","TN ","37303","4130","4237452863","1-Local school district","35.433300","-84.607100","541","Prekindergarten","8th Grade","Tennessee","1717"
"BEDFORD COUNTY","Tennessee","4700180","BEDFORD COUNTY","47003","47","14","500 MADISON ST","SHELBYVILLE","TN ","37160","3341","500  MADISON  ST","SHELBYVILLE","TN ","37160","3341","9316843284","1-Local school district","35.488200","-86.453100","020","Prekindergarten","12th Grade","Tennessee","8364"
"BELLS","Tennessee","4700210","CROCKETT COUNTY","47033","47","1","4532 HWY 88 SOUTH","BELLS","TN ","38006","3028","4532  HWY  88 SOUTH","BELLS","TN ","38006","3028","7316632739","1-Local school district","35.724500","-89.093800","172","Prekindergarten","5th Grade","Tennessee","443"
"BENTON COUNTY","Tennessee","4700240","BENTON COUNTY","47005","47","8","197 BRIARWOOD ST","CAMDEN","TN ","38320","1381","197  BRIARWOOD  ST","CAMDEN","TN ","38320","1381","7315846111","1-Local school district","36.072600","-88.112100","030","Prekindergarten","12th Grade","Tennessee","2290"
"BLEDSOE COUNTY","Tennessee","4700270","BLEDSOE COUNTY","47007","47","5","478 SPRING ST ST","PIKEVILLE","TN ","37367","0369","P. O. BOX 369","PIKEVILLE","TN ","37367","0369","4234472914","1-Local school district","35.606200","-85.188300","040","Prekindergarten","12th Grade","Tennessee","1975"
