"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES)","Utah","4900017","SALT LAKE COUNTY","49035","49","1","5715 SOUTH 1300 EAST","SALT LAKE CITY","UT ","84121","1099","5715 S 1300 E","SALT LAKE CITY","UT ","84121","1099","8012789460","7-Charter school agency","40.646800","-111.853100","83","9th Grade","12th Grade","Utah","491"
"ALIANZA ACADEMY","Utah","4900149","SALT LAKE COUNTY","49035","49","1","420 EAST SOUTH TEMPLE","SALT LAKE CITY","UT ","84111","","420 E SOUTH TEMPLE","SALT LAKE CITY","UT ","84111","","8013630946","7-Charter school agency","40.768800","-111.878900","9G","Kindergarten","8th Grade","Utah","455"
"ALPINE DISTRICT","Utah","4900030","UTAH COUNTY","49049","49","81","575 NORTH 100 EAST","AMERICAN FORK","UT ","84003","3716","575 N 100 E","AMERICAN FORK","UT ","84003","3716","8016108400","1-Local school district","40.379200","-111.783500","01","Prekindergarten","12th Grade","Utah","73975"
"AMERICAN INTERNATIONAL SCHOOL OF UTAH","Utah","4900172","SALT LAKE COUNTY","49035","49","0","4998 SOUTH GALLERIA DR","MURRAY","UT ","84123","","4998 S. GALLERIA DRIVE","MURRAY","UT ","84123","","8014278126","7-Charter school agency","40.663100","-111.903500","1J","†","†","Utah","†"
"AMERICAN LEADERSHIP ACADEMY","Utah","4900033","UTAH COUNTY","49049","49","1","898 WEST 1100 SOUTH","SPANISH FORK","UT ","84660","","898 W 1100 S","SPANISH FORK","UT ","84660","","8017942226","7-Charter school agency","40.095400","-111.671800","8B","Kindergarten","12th Grade","Utah","1689"
"AMERICAN PREPARATORY ACADEMY--LEA","Utah","4900005","SALT LAKE COUNTY","49035","49","4","12892 SOUTH PONY EXPRESS RD","DRAPER","UT ","84020","9273","12892 S PONY EXPRESS RD","DRAPER","UT ","84020","9273","8018393613","7-Charter school agency","40.516800","-111.895300","74","Kindergarten","12th Grade","Utah","3412"
"ARISTOTLE ACADEMY","Utah","4900154","UTAH COUNTY","49049","49","1","704 SOUTH 600 EAST","AMERICAN FORK","UT ","84003","","704 S 600 E","AMERICAN FORK","UT ","84003","","8018853972","7-Charter school agency","40.362000","-111.781800","4H","Kindergarten","8th Grade","Utah","218"
"ASCENT ACADEMIES OF UTAH","Utah","4900174","DAVIS COUNTY","49011","49","0","619 KATE WAY","KAYSVILLE","UT ","84037","","619 KATE WAY","KAYSVILLE","UT ","84037","","8017108669","7-Charter school agency","41.024700","-111.962400","2J","†","†","Utah","†"
"BEAR RIVER CHARTER SCHOOL","Utah","4900146","CACHE COUNTY","49005","49","1","75 SOUTH 400 WEST","LOGAN","UT ","84321","","75 S 400 W","LOGAN","UT ","84321","","4357538811","7-Charter school agency","41.730200","-111.845900","3G","Kindergarten","8th Grade","Utah","180"
"BEAVER DISTRICT","Utah","4900060","BEAVER COUNTY","49001","49","7","290 NORTH MAIN ST","BEAVER","UT ","84713","0031","290 N MAIN ST","BEAVER","UT ","84713","0031","4354382291","1-Local school district","38.278100","-112.641200","02","Prekindergarten","12th Grade","Utah","1590"
"BEEHIVE SCIENCE & TECHNOLOGY ACADEMY (BSTA)","Utah","4900023","SALT LAKE COUNTY","49035","49","1","830 EAST 9400 SOUTH","SANDY","UT ","84094","","830 E 9400 S","SANDY","UT ","84094","","8015760070","7-Charter school agency","40.579400","-111.868500","3B","6th Grade","12th Grade","Utah","294"
"BOX ELDER DISTRICT","Utah","4900090","BOX ELDER COUNTY","49003","49","24","960 SOUTH MAIN","BRIGHAM CITY","UT ","84302","3162","960 S MAIN","BRIGHAM CITY","UT ","84302","3162","4357344800","1-Local school district","41.490900","-112.016200","03","Prekindergarten","12th Grade","Utah","11310"
"CACHE DISTRICT","Utah","4900120","CACHE COUNTY","49005","49","27","2063 NORTH 1200 EAST","LOGAN","UT ","84341","2099","2063 N 1200 E","LOGAN","UT ","84341","2099","4357523925","1-Local school district","41.768000","-111.804600","04","Prekindergarten","12th Grade","Utah","16279"
"CANYON GROVE ACADEMY","Utah","4900143","UTAH COUNTY","49049","49","1","588 WEST 3300 NORTH","PLEASANT GROVE","UT ","84062","","588 W 3300 N","PLEASANT GROVE","UT ","84062","","8017859300","7-Charter school agency","40.399300","-111.750000","5G","Kindergarten","9th Grade","Utah","444"
"CANYON RIM ACADEMY","Utah","4900071","SALT LAKE COUNTY","49035","49","1","3005 SOUTH 2900 EAST","SALT LAKE CITY","UT ","84109","4050","3005 S 2900 E","SALT LAKE CITY","UT ","84109","4050","8014742066","7-Charter school agency","40.705700","-111.808500","9D","Kindergarten","6th Grade","Utah","528"
"CANYONS DISTRICT","Utah","4900142","SALT LAKE COUNTY","49035","49","49","9150 SOUTH 500 WEST","SANDY","UT ","84070","","9150 S 500 W","SANDY","UT ","84070","","8018265000","1-Local school district","40.584500","-111.905500","42","Prekindergarten","12th Grade","Utah","34394"
"CARBON DISTRICT","Utah","4900150","CARBON COUNTY","49007","49","10","251 WEST 400 NORTH","PRICE","UT ","84501","2440","251 W 400 N","PRICE","UT ","84501","2440","4356371732","1-Local school district","39.605300","-110.816900","05","Prekindergarten","12th Grade","Utah","3523"
"CENTRAL UTAH ED SERVICES","Utah","4900027","SEVIER COUNTY","49041","49","0","195 EAST 500 NORTH","RICHFIELD","UT ","84701","","195 E 500 N","RICHFIELD","UT ","84701","","4358964469","4-Regional education services agency","38.775100","-112.081300","75","Prekindergarten","12th Grade","Utah","†"
"CHANNING HALL","Utah","4900040","SALT LAKE COUNTY","49035","49","1","13515 SOUTH 150 EAST","DRAPER","UT ","84020","","13515 S 150 E","DRAPER","UT ","84020","","8015722709","7-Charter school agency","40.506000","-111.883800","2D","Kindergarten","8th Grade","Utah","656"
"CITY ACADEMY","Utah","4900009","SALT LAKE COUNTY","49035","49","1","555 EAST 200 SOUTH","SALT LAKE CITY","UT ","84102","","555 E 200 S","SALT LAKE CITY","UT ","84102","","8015968489","7-Charter school agency","40.765400","-111.874900","87","7th Grade","12th Grade","Utah","231"
"CS LEWIS ACADEMY","Utah","4900074","UTAH COUNTY","49049","49","1","354 NORTH SR198","SANTAQUIN","UT ","84655","","354 N SR-198","SANTAQUIN","UT ","84655","","8017543376","7-Charter school agency","39.982400","-111.766200","3E","Kindergarten","8th Grade","Utah","443"
"DAGGETT DISTRICT","Utah","4900180","DAGGETT COUNTY","49009","49","4","196 WEST 200 NORTH","MANILA","UT ","84046","0249","196 W 200 N","MANILA","UT ","84046","0249","4357843174","1-Local school district","40.991900","-109.727200","06","Prekindergarten","12th Grade","Utah","226"
"DAVINCI ACADEMY","Utah","4900065","WEBER COUNTY","49057","49","1","2033 GRANT AVE","OGDEN","UT ","84401","","2033 GRANT AVE","OGDEN","UT ","84401","","8014090700","7-Charter school agency","41.230500","-111.973700","A3","Kindergarten","12th Grade","Utah","1088"
"DAVIS DISTRICT","Utah","4900210","DAVIS COUNTY","49011","49","89","45 EAST STATE ST","FARMINGTON","UT ","84025","5288","P O BOX 588","FARMINGTON","UT ","84025","5288","8014025261","1-Local school district","40.980700","-111.887000","07","Prekindergarten","12th Grade","Utah","70411"
"DIXIE MONTESSORI ACADEMY","Utah","4900169","WASHINGTON COUNTY","49053","49","0","37 SOUTH 200 EAST","SAINT GEORGE","UT ","84770","","37 SOUTH 200 EAST","SAINT GEORGE","UT ","84770","","4356529200","7-Charter school agency","37.107500","-113.578500","3J","†","†","Utah","†"
"DUAL IMMERSION ACADEMY","Utah","4900073","SALT LAKE COUNTY","49035","49","1","1155 SOUTH GLENDALE DR","SALT LAKE CITY","UT ","84104","","1155 S GLENDALE DRIVE","SALT LAKE CITY","UT ","84104","","8013471750","7-Charter school agency","40.743900","-111.931000","4E","Kindergarten","8th Grade","Utah","431"
"DUCHESNE DISTRICT","Utah","4900240","DUCHESNE COUNTY","49013","49","14","50 EAST 100 SOUTH","DUCHESNE","UT ","84021","0466","P O BOX 446","DUCHESNE","UT ","84021","0446","4357381240","1-Local school district","40.161800","-110.402000","08","Prekindergarten","12th Grade","Utah","5091"
"EARLY LIGHT ACADEMY AT DAYBREAK","Utah","4900140","SALT LAKE COUNTY","49035","49","1","11709 VADANIA DR","SOUTH JORDAN","UT ","84095","","11709 S VADANIA DR","SOUTH JORDAN","UT ","84095","","8013025988","7-Charter school agency","40.538900","-112.013200","6F","Kindergarten","9th Grade","Utah","752"
"EAST HOLLYWOOD HIGH","Utah","4900036","SALT LAKE COUNTY","49035","49","1","2185 SOUTH 3600 WEST","WEST VALLEY CITY","UT ","84119","","2185 S 3600 W","WEST VALLEY CITY","UT ","84119","","8018868181","7-Charter school agency","40.724400","-111.975700","A8","9th Grade","12th Grade","Utah","309"
"EDITH BOWEN LABORATORY SCHOOL","Utah","4900070","CACHE COUNTY","49005","49","1","6700 OLD MAIN HILL","LOGAN","UT ","84322","","6700 OLD MAIN HILL","LOGAN","UT ","84322","","4357973088","7-Charter school agency","41.745400","-111.808900","5E","Kindergarten","5th Grade","Utah","304"
"EMERY DISTRICT","Utah","4900270","EMERY COUNTY","49015","49","10","120 NORTH MAIN","HUNTINGTON","UT ","84528","0120","P.O. BOX 120","HUNTINGTON","UT ","84528","0120","4356879846","1-Local school district","39.328700","-110.964600","09","Prekindergarten","12th Grade","Utah","2380"
"ENDEAVOR HALL","Utah","4900155","SALT LAKE COUNTY","49035","49","1","2610 SOUTH DECKER LAKE LN","WEST VALLEY CITY","UT ","84119","","2610 S DECKER LAKE LANE","WEST VALLEY CITY","UT ","84119","","8017035416","7-Charter school agency","40.713600","-111.943500","3H","Kindergarten","9th Grade","Utah","613"
"ENTHEOS ACADEMY","Utah","4900041","SALT LAKE COUNTY","49035","49","2","4710 WEST 6200 SOUTH","KEARNS","UT ","84118","","4710 W 6200 S","KEARNS","UT ","84118","","8014175444","7-Charter school agency","40.638600","-112.002900","3C","Kindergarten","9th Grade","Utah","1029"
"ESPERANZA SCHOOL","Utah","4900161","SALT LAKE COUNTY","49035","49","0","854 ELM AVE","SALT LAKE CITY","UT ","84106","","854 ELM AVENUE","SALT LAKE CITY","UT ","84106","","8015481538","7-Charter school agency","40.723900","-111.866400","2I","†","†","Utah","†"
"EXCELSIOR ACADEMY","Utah","4900136","TOOELE COUNTY","49045","49","1","124 EAST ERDA WAY","TOOELE","UT ","84074","","124 E ERDA WAY","TOOELE","UT ","84074","","4358823062","7-Charter school agency","40.601000","-112.300900","7F","Kindergarten","9th Grade","Utah","683"
