"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"A. LINWOOD HOLTON GOV SCH","Virginia","5100033","WASHINGTON COUNTY","51191","51","1","ONE PARTNERSHIP CIRCLE","ABINGDON","VA ","24212","","PO BOX 1987","ABINGDON","VA ","24212","","2764694026","4-Regional education services agency","36.721100","-82.013400","268","†","†","Virginia","†"
"ACCOMACK CO PBLC SCHS","Virginia","5100060","ACCOMACK COUNTY","51001","51","13","23296 COURTHOUSE AVE","ACCOMAC","VA ","23301","0330","PO BOX 330","ACCOMAC","VA ","23301","0330","7577875754","1-Local school district","37.719800","-75.671600","001","Prekindergarten","12th Grade","Virginia","5247"
"ALBEMARLE CO PBLC SCHS","Virginia","5100090","CHARLOTTESVILLE CITY","51540","51","26","401 MCINTIRE RD","CHARLOTTESVILLE","VA ","22902","4596","401 MCINTIRE ROAD","CHARLOTTESVILLE","VA ","22902","4596","4342965826","1-Local school district","38.035000","-78.482300","002","Prekindergarten","12th Grade","Virginia","13420"
"ALEXANDRIA CITY PBLC SCHS","Virginia","5100120","ALEXANDRIA CITY","51510","51","19","2000 NORTH BEAUREGARD ST","ALEXANDRIA","VA ","22311","1712","2000 N BEAUREGARD ST","ALEXANDRIA","VA ","22311","1712","7038246600","1-Local school district","38.833900","-77.119000","101","Prekindergarten","12th Grade","Virginia","13622"
"ALLEGHANY CO PBLC SCHS","Virginia","5100152","ALLEGHANY COUNTY","51005","51","5","100 CENTRAL CIRCLE","LOW MOOR","VA ","24457","","P.O. DRAWER 140","LOW MOOR","VA ","24457","","5408631800","1-Local school district","37.789100","-79.881500","003","Prekindergarten","12th Grade","Virginia","2474"
"ALT ED PRGM/BEHAV DISORD YOUTH/MONTGOMERY","Virginia","5100078","MONTGOMERY COUNTY","51121","51","1","C/O MONTGOMERY CO PUBLIC SCHLS","CHRISTIANSBURG","VA ","24073","","C/O MONTGOMERY CO PUBLIC SCHLS","CHRISTIANSBURG","VA ","24073","","5403816116","4-Regional education services agency","37.132100","-80.404100","407","†","†","Virginia","†"
"AMELIA CO PBLC SCHS","Virginia","5100180","AMELIA COUNTY","51007","51","3","8701 OTTERBURN RD","AMELIA","VA ","23002","","8701 OTTERBURN ROAD, SUITE 101","AMELIA","VA ","23002","","8045612621","1-Local school district","37.334100","-77.988800","004","Prekindergarten","12th Grade","Virginia","1793"
"AMELIA-NOTTOWAY VOC CTR","Virginia","5100013","AMELIA COUNTY","51007","51","1","148 VOTECH RD","JETERSVILLE","VA ","23083","9504","148 VO-TECH ROAD","JETERSVILLE","VA ","23083","9504","4346457854","4-Regional education services agency","37.309300","-78.104000","311","†","†","Virginia","†"
"AMHERST CO PBLC SCHS","Virginia","5100210","AMHERST COUNTY","51009","51","10","153 WASHINGTON ST","AMHERST","VA ","24521","1257","P. O. BOX 1257","AMHERST","VA ","24521","1257","4349469387","1-Local school district","37.582300","-79.048100","005","Prekindergarten","12th Grade","Virginia","4291"
"APPOMATTOX CO PBLC SCHS","Virginia","5100240","APPOMATTOX COUNTY","51011","51","4","316 COURT ST","APPOMATTOX","VA ","24522","0548","P.O. BOX 548","APPOMATTOX","VA ","24522","0548","4343528251","1-Local school district","37.355200","-78.829400","006","Prekindergarten","12th Grade","Virginia","2345"
"APPOMATTOX REGIONAL GOV SCH","Virginia","5100032","PETERSBURG CITY","51730","51","1","512 WEST WASHINGTON ST","PETERSBURG","VA ","23803","","512 W. WASHINGTON STREET","PETERSBURG","VA ","23803","","8047220200","4-Regional education services agency","37.225500","-77.411600","267","†","†","Virginia","†"
"ARLINGTON CO PBLC SCHS","Virginia","5100270","ARLINGTON COUNTY","51013","51","37","1426 NORTH QUINCY ST","ARLINGTON","VA ","22207","3646","1426 N QUINCY ST","ARLINGTON","VA ","22207","3646","7032286010","1-Local school district","38.888400","-77.108300","007","Prekindergarten","12th Grade","Virginia","23499"
"AUGUSTA CO PBLC SCHS","Virginia","5100300","AUGUSTA COUNTY","51015","51","20","18 GOVERNMENT CENTER LN","VERONA","VA ","24482","9610","P O BOX 960","VERONA","VA ","24482","9610","5402455100","1-Local school district","38.192900","-79.014200","008","Prekindergarten","12th Grade","Virginia","10667"
"BATH CO PBLC SCHS","Virginia","5100330","BATH COUNTY","51017","51","3","12145 SAM SNEAD HWY","WARM SPRINGS","VA ","24484","0067","PO BOX 67","WARM SPRINGS","VA ","24484","0067","5408392722","1-Local school district","38.131600","-79.749100","009","Prekindergarten","12th Grade","Virginia","636"
"BEDFORD CITY PBLC SCHS","Virginia","5100365","BEDFORD CITY","51515","51","0","310 SOUTH BRIDGE ST","BEDFORD","VA ","24523","0748","PO BOX 748","BEDFORD","VA ","24523","0748","5405861045","1-Local school district","37.331600","-79.524800","140","†","†","Virginia","†"
"BEDFORD CO PBLC SCHS","Virginia","5100360","BEDFORD CITY","51515","51","23","310 SOUTH BRIDGE ST","BEDFORD","VA ","24523","0748","310 S. BRIDGE ST","BEDFORD","VA ","24523","0748","5405861045","1-Local school district","37.331600","-79.524800","010","Prekindergarten","12th Grade","Virginia","10302"
"BLAND CO PBLC SCHS","Virginia","5100390","BLAND COUNTY","51021","51","4","361 BEARS TRAIL","BASTIAN","VA ","24314","9701","361 BEARS TRAIL","BASTIAN","VA ","24314","9701","2766883361","1-Local school district","37.156400","-81.147400","011","Kindergarten","12th Grade","Virginia","858"
"BLUE RIDGE GOV SCHOOL","Virginia","5100062","FLUVANNA COUNTY","51065","51","1","14455 JAMES MADISON HWY","PALMYRA","VA ","22963","","FLUVANNA COUNTY PUBLIC SCHOOLS","PALMYRA","VA ","22963","","4345898208","4-Regional education services agency","37.873700","-78.260700","273","†","†","Virginia","†"
"BOTETOURT CO PBLC SCHS","Virginia","5100420","BOTETOURT COUNTY","51023","51","12","143 POOR FARM RD","FINCASTLE","VA ","24090","0309","143 POOR FARM RD","FINCASTLE","VA ","24090","0309","5404738263","1-Local school district","37.504600","-79.864800","012","Prekindergarten","12th Grade","Virginia","4856"
"BREAKING BARRIERS ALTERNATIVE ED/HENRY CO","Virginia","5100099","MARTINSVILLE CITY","51690","51","1","340 RIDGEDATE DR","MARTINSVILLE","VA ","24112","","C/O HENRY CO PUBLIC SCHLS","COLLINSVILLE","VA ","24078","","5406344717","4-Regional education services agency","36.689200","-79.864900","423","†","†","Virginia","†"
"BRIDGING COMMUNITIES REG CTE CENTER","Virginia","5100255","NEW KENT COUNTY","51127","51","1","7930 NEW CHIPPING LN","NEW KENT","VA ","23124","","P.O. BOX 232","NEW KENT","VA ","23124","","8049668575","4-Regional education services agency","37.556600","-77.057800","313","†","†","Virginia","†"
