"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"ADDISON CENTRAL SUPERVISORY UNION","Vermont","5099903","ADDISON COUNTY","50001","50","0","49 CHARLES AVE","MIDDLEBURY","VT ","05753","","49 CHARLES AVENUE","MIDDLEBURY","VT ","05753","","8023821278","3-Supervisory union administrative center","44.007000","-73.161800","SU003","†","†","Vermont","†"
"ADDISON NORTHEAST SUPERVISORY UNION","Vermont","5099901","ADDISON COUNTY","50001","50","0","57 MOUNTAIN ST","BRISTOL","VT ","05443","1201","57 MOUNTAIN STREET","BRISTOL","VT ","05443","1201","8024533674","3-Supervisory union administrative center","44.138300","-73.076800","SU001","†","†","Vermont","†"
"ADDISON NORTHWEST SUPERVISORY UNION","Vermont","5099902","ADDISON COUNTY","50001","50","0","48 GREEN ST","VERGENNES","VT ","05491","1110","48 GREEN STREET SUITE 1","VERGENNES","VT ","05491","1110","8028773332","3-Supervisory union administrative center","44.166800","-73.250900","SU002","†","†","Vermont","†"
"ADDISON RUTLAND SUPERVISORY UNION","Vermont","5099904","RUTLAND COUNTY","50021","50","0","49 MAIN ST","FAIR HAVEN","VT ","05743","1061","NORTH PARK PLACE","FAIR HAVEN","VT ","05743","1061","8022654905","3-Supervisory union administrative center","43.592700","-73.264900","SU004","†","†","Vermont","†"
"ADDISON SCHOOL DISTRICT","Vermont","5001710","ADDISON COUNTY","50001","50","1","121 VT ROUTE 17 WEST","ADDISON","VT ","05491","9511","121 VT ROUTE 17 WEST","ADDISON","VT ","05491","9511","8027592131","2-Local school district component of supervisory union","44.088000","-73.304700","T001","Prekindergarten","6th Grade","Vermont","75"
"ALBANY SCHOOL DISTRICT","Vermont","5001740","ORLEANS COUNTY","50019","50","1","351 MAIN ST","ALBANY","VT ","05820","7902","351 MAIN STREET","ALBANY","VT ","05820","7902","8027556168","2-Local school district component of supervisory union","44.738000","-72.376800","T002","Prekindergarten","8th Grade","Vermont","94"
"ALBURG SCHOOL DISTRICT","Vermont","5001770","GRAND ISLE COUNTY","50013","50","1","14 NORTH MAIN ST","ALBURG","VT ","05440","9634","14 NORTH MAIN STREET","ALBURG","VT ","05440","9634","8027963573","2-Local school district component of supervisory union","44.978900","-73.298100","T003","Prekindergarten","12th Grade","Vermont","304"
"ANDOVER SCHOOL DISTRICT","Vermont","5000023","WINDSOR COUNTY","50027","50","0","89 VT ROUTE 103 SOUTH","CHESTER","VT ","05143","","72 MAIN STREET","CHESTER","VT ","05143","","8028752108","2-Local school district component of supervisory union","43.258500","-72.588400","T004","Prekindergarten","Prekindergarten","Vermont","6"
"ARLINGTON SCHOOL DISTRICT","Vermont","5001830","BENNINGTON COUNTY","50003","50","2","504 EAST ARLINGTON RD","ARLINGTON","VT ","05250","0304","504 EAST ARLINGTON ROAD","ARLINGTON","VT ","05250","0304","8023756409","2-Local school district component of supervisory union","43.066200","-73.153700","T005","Prekindergarten","12th Grade","Vermont","365"
"ATHENS SCHOOL DISTRICT","Vermont","5001860","WINDHAM COUNTY","50025","50","0","8A ATKINSON ST","BELLOWS FALLS","VT ","05101","","RURAL ROUTE 3","CHESTER","VT ","05143","","8028692633","2-Local school district component of supervisory union","43.128900","-72.445200","T006","Prekindergarten","8th Grade","Vermont","47"
"ATHENS/GRAFTON CONTRACT SCHOOL DISTRICT","Vermont","5000026","WINDHAM COUNTY","50025","50","1","58 SCHOOL ST","GRAFTON","VT ","05146","0180","P.O. BOX 226","GRAFTON","VT ","05146","0180","8028432495","2-Local school district component of supervisory union","43.170200","-72.609000","J006","Prekindergarten","6th Grade","Vermont","0"
"AVERILL SCHOOL DISTRICT","Vermont","5000015","ESSEX COUNTY","50009","50","0","318 CHRISTIAN HILL RD","CANAAN","VT ","05903","","P.O. BOX 100","CANAAN","VT ","05903","","8022663330","2-Local school district component of supervisory union","44.999300","-71.533600","T256","Prekindergarten","12th Grade","Vermont","1"
"AVERYS GORE SCHOOL DISTRICT","Vermont","5000016","ESSEX COUNTY","50009","50","0","318 CHRISTIAN HILL RD","CANAAN","VT ","05903","","P.O. BOX 100","CANAAN","VT ","05903","","8022663330","2-Local school district component of supervisory union","44.999300","-71.533600","T257","Prekindergarten","12th Grade","Vermont","0"
"BAKERSFIELD SCHOOL DISTRICT","Vermont","5001890","FRANKLIN COUNTY","50011","50","1","82 ACADEMY DR","BAKERSFIELD","VT ","05441","0017","P.O. BOX 17","BAKERSFIELD","VT ","05441","0017","8028276611","2-Local school district component of supervisory union","44.784300","-72.802800","T007","Prekindergarten","12th Grade","Vermont","232"
"BALTIMORE SCHOOL DISTRICT","Vermont","5001920","WINDSOR COUNTY","50027","50","0","89 VT ROUTE 103 SOUTH","CHESTER","VT ","05153","","RURAL ROUTE 1 BOX 4","CHESTER","VT ","05143","","8028753365","2-Local school district component of supervisory union","43.258500","-72.588400","T008","Prekindergarten","12th Grade","Vermont","51"
"BARNARD SCHOOL DISTRICT","Vermont","5001950","WINDSOR COUNTY","50027","50","1","5979 ROUTE 12","BARNARD","VT ","05031","0274","P.O. BOX 157","BARNARD","VT ","05031","0274","8022349763","2-Local school district component of supervisory union","43.726200","-72.620400","T009","Prekindergarten","6th Grade","Vermont","61"
"BARNET SCHOOL DISTRICT","Vermont","5001980","CALEDONIA COUNTY","50005","50","1","163 KID ROW","BARNET","VT ","05821","0042","163 KID ROW","BARNET","VT ","05821","0042","8026334978","2-Local school district component of supervisory union","44.307300","-72.080700","T010","Prekindergarten","12th Grade","Vermont","289"
"BARRE CITY SCHOOL DISTRICT","Vermont","5002010","WASHINGTON COUNTY","50023","50","1","50 PARKSIDE TERRACE","BARRE","VT ","05641","4846","50 PARKSIDE TERRACE","BARRE","VT ","05641","4846","8024766541","2-Local school district component of supervisory union","44.184800","-72.505100","T011","Prekindergarten","8th Grade","Vermont","900"
"BARRE SUPERVISORY UNION","Vermont","5000007","WASHINGTON COUNTY","50023","50","0","120 AYERS ST","BARRE","VT ","05641","","120 AYERS STREET","BARRE","VT ","05641","","8024765011","3-Supervisory union administrative center","44.190300","-72.493300","SU061","†","†","Vermont","†"
"BARRE TOWN SCHOOL DISTRICT","Vermont","5002040","WASHINGTON COUNTY","50023","50","1","70 WEBSTERVILLE RD","BARRE","VT ","05641","9029","70 WEBSTERVILLE ROAD","BARRE","VT ","05641","9029","8024766617","2-Local school district component of supervisory union","44.165600","-72.487800","T012","Prekindergarten","8th Grade","Vermont","859"
"BARSTOW JOINT CONTRACT SCHOOL DISTRICT","Vermont","5099960","RUTLAND COUNTY","50021","50","1","223 CHITTENDEN RD","CHITTENDEN","VT ","05737","","223 CHITTENDEN ROAD","CHITTENDEN","VT ","05737","","8027736926","2-Local school district component of supervisory union","43.700900","-72.952000","J048","Prekindergarten","8th Grade","Vermont","0"
"BARTON INCORPORATED SCHOOL DISTRICT","Vermont","5002070","ORLEANS COUNTY","50019","50","1","137 CHURCH ST","BARTON","VT ","05822","0588","P.O. BOX 588","BARTON","VT ","05822","0588","8025253636","2-Local school district component of supervisory union","44.749000","-72.180100","T013","Prekindergarten","8th Grade","Vermont","175"
"BATTENKILL VALLEY SUPERVISORY UNION","Vermont","5000004","BENNINGTON COUNTY","50003","50","0","530A EAST ARLINGTON RD","ARLINGTON","VT ","05250","","530A EAST ARLINGTON ROAD","ARLINGTON","VT ","05250","","8023759744","3-Supervisory union administrative center","43.065400","-73.152400","SU060","†","†","Vermont","†"
"BELLOWS FALLS UHSD #27","Vermont","5008246","WINDHAM COUNTY","50025","50","1","ROUTE 5 SOUTH","BELLOWS FALLS","VT ","05101","9802","P.O. BOX 429","BELLOWS FALLS","VT ","05101","9802","8024633944","2-Local school district component of supervisory union","43.130700","-72.448300","U027","9th Grade","12th Grade","Vermont","365"
"BELLOWS FREE ACADEMY UHSD #48","Vermont","5000025","FRANKLIN COUNTY","50011","50","2","71 SOUTH MAIN ST","SAINT ALBANS","VT ","05478","","71 SOUTH MAIN STREET","SAINT ALBANS","VT ","05478","","8025270614","2-Local school district component of supervisory union","44.808100","-73.083300","U048","9th Grade","12th Grade","Vermont","693"
"BELVIDERE SCHOOL DISTRICT","Vermont","5002100","LAMOILLE COUNTY","50015","50","0","4515 VT ROUTE 109","BELVIDERE","VT ","05442","9708","4515 VT ROUTE 109","BELVIDERE","VT ","05492","9708","8026445836","2-Local school district component of supervisory union","44.747200","-72.702400","T014","Prekindergarten","6th Grade","Vermont","34"
"BENNINGTON INCORPORATED SCHOOL DISTRICT","Vermont","5002130","BENNINGTON COUNTY","50003","50","3","66 MAIN ST","BENNINGTON","VT ","05201","2193","66 MAIN STREET","BENNINGTON","VT ","05201","2193","8024477979","2-Local school district component of supervisory union","42.884900","-73.210800","T015","Prekindergarten","5th Grade","Vermont","918"
"BENNINGTON RUTLAND SUPERVISORY UNION","Vermont","5099906","BENNINGTON COUNTY","50003","50","0","6378 VERMONT ROUTE 7A","SUNDERLAND","VT ","05250","2288","6378 VERMONT ROUTE 7A","SUNDERLAND","VT ","05250","2288","8023622452","3-Supervisory union administrative center","43.116900","-73.112200","SU006","†","†","Vermont","†"
"BENSON SCHOOL DISTRICT","Vermont","5002160","RUTLAND COUNTY","50021","50","1","32 SCHOOL ST","BENSON","VT ","05743","","32 SCHOOL STREET","BENSON","VT ","05743","","8025372491","2-Local school district component of supervisory union","43.707100","-73.302700","T017","Prekindergarten","8th Grade","Vermont","95"
"BERKSHIRE SCHOOL DISTRICT","Vermont","5002190","FRANKLIN COUNTY","50011","50","1","4850 WATER TOWER RD","RICHFORD","VT ","05476","9712","4850 WATER TOWER ROAD","RICHFORD","VT ","05476","9712","8029332290","2-Local school district component of supervisory union","44.972500","-72.766300","T018","Prekindergarten","12th Grade","Vermont","277"
"BERLIN SCHOOL DISTRICT","Vermont","5002220","WASHINGTON COUNTY","50023","50","1","372 PAINE TURNPIKE","BERLIN","VT ","05602","8926","372 PAINE TURNPIKE NORTH","BERLIN","VT ","05602","8926","8022232796","2-Local school district component of supervisory union","44.214400","-72.571500","T019","Prekindergarten","6th Grade","Vermont","213"
"BETHEL SCHOOL DISTRICT","Vermont","5002250","WINDSOR COUNTY","50027","50","2","273 PLEASANT ST","BETHEL","VT ","05032","9700","273 PLEASANT STREET","BETHEL","VT ","05032","9700","8022349966","2-Local school district component of supervisory union","43.832600","-72.644800","T020","Prekindergarten","12th Grade","Vermont","291"
"BLACK RIVER USD #39","Vermont","5008241","WINDSOR COUNTY","50027","50","1","43 MAIN ST","LUDLOW","VT ","05149","1105","43 MAIN STREET","LUDLOW","VT ","05149","1105","8022284721","2-Local school district component of supervisory union","43.397100","-72.688600","U039","7th Grade","12th Grade","Vermont","179"
"BLOOMFIELD SCHOOL DISTRICT","Vermont","5002280","ESSEX COUNTY","50009","50","0","318 CHRISTIAN HILL RD","CANAAN","VT ","05903","0100","P.O. BOX 100","CANAAN","VT ","05903","0100","8022663330","2-Local school district component of supervisory union","44.999300","-71.533600","T021","Prekindergarten","12th Grade","Vermont","28"
"BLUE MOUNTAIN SUPERVISORY DISTRICT","Vermont","5099957","ORANGE COUNTY","50017","50","0","2420 ROUTE 302","WELLS RIVER","VT ","05081","9604","2420 ROUTE 302","WELLS RIVER","VT ","05081","9604","8027572766","3-Supervisory union administrative center","44.155300","-72.087500","SU057","†","†","Vermont","†"
"BLUE MOUNTAIN USD #21","Vermont","5008224","ORANGE COUNTY","50017","50","1","2420 ROUTE 302","WELLS RIVER","VT ","05081","9604","2420 ROUTE 302","WELLS RIVER","VT ","05081","9604","8027572711","2-Local school district component of supervisory union","44.154900","-72.082300","U021","Prekindergarten","12th Grade","Vermont","419"
"BOLTON SCHOOL DISTRICT","Vermont","5002310","CHITTENDEN COUNTY","50007","50","1","2712 THEODORE ROOSEVELT HIGHWA","BOLTON","VT ","05676","9801","2712 THEODORE ROOSEVELT HIGHWA","BOLTON","VT ","05676","9801","8024342757","2-Local school district component of supervisory union","44.373800","-72.876900","T022","Prekindergarten","4th Grade","Vermont","72"
