"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"ABERDEEN SCHOOL DISTRICT","Washington","5300030","GRAYS HARBOR COUNTY","53027","53","11","216 NORTH G ST","ABERDEEN","WA ","98520","5297","216 N G ST","ABERDEEN","WA ","98520","5297","3605382002","1-Local school district","46.978300","-123.816700","14005","Prekindergarten","12th Grade","Washington","3279"
"ADNA SCHOOL DISTRICT","Washington","5300060","LEWIS COUNTY","53041","53","2","179 DIECKMAN RD","ADNA","WA ","98522","0118","PO BOX 118","ADNA","WA ","98522","0118","3607489217","1-Local school district","46.628400","-123.060600","21226","Prekindergarten","12th Grade","Washington","593"
"ALMIRA SCHOOL DISTRICT","Washington","5300090","LINCOLN COUNTY","53043","53","1","310 SOUTH 3RD ST","ALMIRA","WA ","99103","0217","PO BOX 217","ALMIRA","WA ","99103","0217","5096292414","1-Local school district","47.707400","-118.941200","22017","Kindergarten","8th Grade","Washington","93"
"ANACORTES SCHOOL DISTRICT","Washington","5300150","SKAGIT COUNTY","53057","53","7","2200 M AVE","ANACORTES","WA ","98221","3794","2200 M AVE","ANACORTES","WA ","98221","3794","3602931212","1-Local school district","48.504500","-122.617500","29103","Prekindergarten","12th Grade","Washington","2749"
"ARLINGTON SCHOOL DISTRICT","Washington","5300240","SNOHOMISH COUNTY","53061","53","10","315 NORTH FRENCH AVE","ARLINGTON","WA ","98223","1317","315 N FRENCH AVE","ARLINGTON","WA ","98223","1317","3606186203","1-Local school district","48.189600","-122.122100","31016","Prekindergarten","12th Grade","Washington","5503"
"ASOTIN-ANATONE SCHOOL DISTRICT","Washington","5300280","ASOTIN COUNTY","53003","53","2","314 FIRST ST","ASOTIN","WA ","99402","0489","PO BOX 489","ASOTIN","WA ","99402","0489","5092431100","1-Local school district","46.340600","-117.047900","02420","Prekindergarten","12th Grade","Washington","616"
"AUBURN SCHOOL DISTRICT","Washington","5300300","KING COUNTY","53033","53","23","915 4TH ST NE","AUBURN","WA ","98002","4499","915 4TH ST NE","AUBURN","WA ","98002","4499","2539314900","1-Local school district","47.311100","-122.217200","17408","Prekindergarten","12th Grade","Washington","15027"
"BAINBRIDGE ISLAND SCHOOL DISTRICT","Washington","5300330","KITSAP COUNTY","53035","53","10","8489 MADISON AVE NE","BAINBRIDGE ISLAND","WA ","98110","2999","8489 MADISON AVE NE","BAINBRIDGE ISLAND","WA ","98110","2999","2068424714","1-Local school district","47.638800","-122.521700","18303","Prekindergarten","12th Grade","Washington","3943"
"BATES TECHNICAL COLLEGE","Washington","5300014","PIERCE COUNTY","53053","53","1","1101 SOUTH YAKIMA AVE","TACOMA","WA ","98405","","1101 SOUTH YAKIMA AVE.","TACOMA","WA ","98405","","2536807000","8-Other education agency","47.252000","-122.446500","27931","9th Grade","12th Grade","Washington","185"
"BATTLE GROUND SCHOOL DISTRICT","Washington","5300380","CLARK COUNTY","53011","53","19","11104 NE 149TH ST","BATTLE GROUND","WA ","98604","0200","PO BOX 200","BATTLE GROUND","WA ","98604","0200","3608855300","1-Local school district","45.729700","-122.558100","06119","Prekindergarten","12th Grade","Washington","13318"
