"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"21ST CENTURY PREPARATORY SCHOOL AGENCY","Wisconsin","5500045","RACINE COUNTY","55101","55","1","1220 MOUND AVE","RACINE","WI ","53404","","1220 MOUND AVE","RACINE","WI ","53404","","2625980026","7-Charter school agency","42.729100","-87.796000","8110","Prekindergarten","8th Grade","Wisconsin","443"
"ABBOTSFORD SCHOOL DISTRICT","Wisconsin","5500030","CLARK COUNTY","55019","55","2","510 WEST HEMLOCK ST","ABBOTSFORD","WI ","54405","0901","PO BOX A","ABBOTSFORD","WI ","54405","0901","7152236715","1-Local school district","44.949200","-90.332100","0007","Prekindergarten","12th Grade","Wisconsin","710"
"ADAMS-FRIENDSHIP AREA SCHOOL DISTRICT","Wisconsin","5500060","ADAMS COUNTY","55001","55","5","201 WEST 6TH ST","FRIENDSHIP","WI ","53934","9135","201 W 6TH ST","FRIENDSHIP","WI ","53934","9135","6083393213","1-Local school district","43.967800","-89.819400","0014","Prekindergarten","12th Grade","Wisconsin","1636"
"ALBANY SCHOOL DISTRICT","Wisconsin","5500120","GREEN COUNTY","55045","55","3","400 5TH ST","ALBANY","WI ","53502","0349","400 5TH ST","ALBANY","WI ","53502","0349","6088623225","1-Local school district","42.706900","-89.433700","0063","Prekindergarten","12th Grade","Wisconsin","365"
"ALGOMA SCHOOL DISTRICT","Wisconsin","5500150","KEWAUNEE COUNTY","55061","55","2","1715 DIVISION ST","ALGOMA","WI ","54201","1498","1715 DIVISION ST","ALGOMA","WI ","54201","1498","9204877001","1-Local school district","44.597400","-87.444200","0070","Prekindergarten","12th Grade","Wisconsin","669"
"ALMA CENTER SCHOOL DISTRICT","Wisconsin","5500210","JACKSON COUNTY","55053","55","3","124 SOUTH SCHOOL ST","ALMA CENTER","WI ","54611","1200","PO BOX 308","ALMA CENTER","WI ","54611","0308","7159648271","1-Local school district","44.435500","-90.915800","0091","Prekindergarten","12th Grade","Wisconsin","630"
"ALMA SCHOOL DISTRICT","Wisconsin","5500180","BUFFALO COUNTY","55011","55","2","S1618 STATE RD 35","ALMA","WI ","54610","8301","S1618 STATE ROAD 35","ALMA","WI ","54610","8301","6086854416","1-Local school district","44.361100","-91.942000","0084","Prekindergarten","12th Grade","Wisconsin","252"
"ALMOND-BANCROFT SCHOOL DISTRICT","Wisconsin","5500240","PORTAGE COUNTY","55097","55","3","1336 ELM ST","ALMOND","WI ","54909","0130","1336 ELM ST","ALMOND","WI ","54909","0130","7153662941","1-Local school district","44.260400","-89.413000","0105","Prekindergarten","12th Grade","Wisconsin","422"
"ALTOONA SCHOOL DISTRICT","Wisconsin","5500270","EAU CLAIRE COUNTY","55035","55","4","1903 BARTLETT AVE","ALTOONA","WI ","54720","1799","1903 BARTLETT AVE","ALTOONA","WI ","54720","1799","7158396032","1-Local school district","44.803600","-91.440600","0112","Prekindergarten","12th Grade","Wisconsin","1589"
"AMERY SCHOOL DISTRICT","Wisconsin","5500300","POLK COUNTY","55095","55","4","543 MINNEAPOLIS AVE SOUTH","AMERY","WI ","54001","1522","543 MINNEAPOLIS AVE S","AMERY","WI ","54001","1522","7152689771","1-Local school district","45.302600","-92.351900","0119","Prekindergarten","12th Grade","Wisconsin","1586"
