"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"BARBOUR COUNTY SCHOOLS","West Virginia","5400030","BARBOUR COUNTY","54001","54","9","105 RAILROAD ST","PHILIPPI","WV ","26416","1177","105 S. RAILROAD STREET","PHILIPPI","WV ","26416","1177","3044573030","1-Local school district","39.154000","-80.040700","0200000","Prekindergarten","12th Grade","West Virginia","2454"
"BERKELEY COUNTY SCHOOLS","West Virginia","5400060","BERKELEY COUNTY","54003","54","31","401 SOUTH QUEEN ST","MARTINSBURG","WV ","25401","3285","401 SOUTH QUEEN STREET","MARTINSBURG","WV ","25401","3285","3042673500","1-Local school district","39.453600","-77.965500","0400000","Prekindergarten","12th Grade","West Virginia","18221"
"BOONE COUNTY  SCHOOLS","West Virginia","5400090","BOONE COUNTY","54005","54","16","69 AVE B","MADISON","WV ","25130","1162","69 AVENUE B","MADISON","WV ","25130","1162","3043698233","1-Local school district","38.066000","-81.818700","0600000","Prekindergarten","12th Grade","West Virginia","4543"
"BRAXTON COUNTY SCHOOLS","West Virginia","5400120","BRAXTON COUNTY","54007","54","8","411 NORTH HILL RD","SUTTON","WV ","26601","1147","411 NORTH HILL ROAD","SUTTON","WV ","26601","1147","3047657911","1-Local school district","38.669600","-80.707600","0800000","Prekindergarten","12th Grade","West Virginia","2128"
"BROOKE COUNTY SCHOOLS","West Virginia","5400150","BROOKE COUNTY","54009","54","10","1201 PLEASANT AVE","WELLSBURG","WV ","26070","1497","1201 PLEASANT AVENUE","WELLSBURG","WV ","26070","1497","3047373481","1-Local school district","40.273900","-80.608400","1000000","Prekindergarten","12th Grade","West Virginia","3246"
"CABELL COUNTY SCHOOLS","West Virginia","5400180","CABELL COUNTY","54011","54","28","2850 5TH AVE","HUNTINGTON","WV ","25702","","2850 FIFTH AVENUE","HUNTINGTON","WV ","25702","","3045285030","1-Local school district","38.427300","-82.400400","1200000","Prekindergarten","12th Grade","West Virginia","12335"
"CALHOUN COUNTY SCHOOLS","West Virginia","5400210","CALHOUN COUNTY","54013","54","4","540 ALAN B MOLLOHAN DR","MT ZION","WV ","26151","","HC 89 BOX 119","MT ZION","WV ","26151","","3043547011","1-Local school district","38.843100","-81.117400","1400000","Prekindergarten","12th Grade","West Virginia","1069"
"CLAY COUNTY SCHOOLS","West Virginia","5400240","CLAY COUNTY","54015","54","6","242 CHURCH ST","CLAY","WV ","25043","0120","242 CHURCH STREET","CLAY","WV ","25043","0120","3045874266","1-Local school district","38.461200","-81.085200","1600000","Prekindergarten","12th Grade","West Virginia","1975"
"DODDRIDGE COUNTY SCHOOLS","West Virginia","5400270","DODDRIDGE COUNTY","54017","54","4","103 SISTERSVILLE PK","WEST UNION","WV ","26456","1034","104 SISTERSVILLE PIKE","WEST UNION","WV ","26456","1034","3048732300","1-Local school district","39.298700","-80.776300","1800000","Prekindergarten","12th Grade","West Virginia","1159"
"FAYETTE COUNTY SCHOOLS","West Virginia","5400300","FAYETTE COUNTY","54019","54","18","111 FAYETTE AVE","FAYETTEVILLE","WV ","25840","1219","111 FAYETTE AVENUE","FAYETTEVILLE","WV ","25840","1219","3045741176","1-Local school district","38.053400","-81.101500","2000000","Prekindergarten","12th Grade","West Virginia","6810"
"GILMER COUNTY SCHOOLS","West Virginia","5400330","GILMER COUNTY","54021","54","5","201 NORTH COURT ST","GLENVILLE","WV ","26351","1216","201 N. COURT STREET","GLENVILLE","WV ","26351","1216","3044627386","1-Local school district","38.934200","-80.836400","2200000","Prekindergarten","12th Grade","West Virginia","903"
"GRANT COUNTY SCHOOLS","West Virginia","5400360","GRANT COUNTY","54023","54","6","304 JEFFERSON AVE","PETERSBURG","WV ","26847","1628","204 JEFFERSON AVENUE","PETERSBURG","WV ","26847","1628","3042571011","1-Local school district","38.998200","-79.119800","2400000","Prekindergarten","12th Grade","West Virginia","1819"
"GREENBRIER COUNTY SCHOOLS","West Virginia","5400390","GREENBRIER COUNTY","54025","54","13","202 CHESTNUT ST","LEWISBURG","WV ","24901","1108","202 CHESTNUT STREET","LEWISBURG","WV ","24901","1108","3046476470","1-Local school district","37.804000","-80.441700","2600000","Prekindergarten","12th Grade","West Virginia","5191"
"HAMPSHIRE COUNTY SCHOOLS","West Virginia","5400420","HAMPSHIRE COUNTY","54027","54","10","111 SCHOOL ST","ROMNEY","WV ","26757","1812","46 SOUTH HIGH STREET","ROMNEY","WV ","26757","1812","3048223528","1-Local school district","39.344000","-78.763500","2800000","Prekindergarten","12th Grade","West Virginia","3422"
"HANCOCK COUNTY SCHOOLS","West Virginia","5400450","HANCOCK COUNTY","54029","54","10","104 NORTH COURT ST","NEW CUMBERLAND","WV ","26047","1300","104 N. COURT STREET","NEW CUMBERLAND","WV ","26047","1300","3045643411","1-Local school district","40.497900","-80.607700","2900000","Prekindergarten","12th Grade","West Virginia","4181"
"HARDY COUNTY SCHOOLS","West Virginia","5400480","HARDY COUNTY","54031","54","6","510 ASHBY ST","MOOREFIELD","WV ","26836","1001","510 ASHBY STREET","MOOREFIELD","WV ","26836","1001","3045302348","1-Local school district","39.070500","-78.962000","3100000","Prekindergarten","12th Grade","West Virginia","2321"
"HARRISON COUNTY SCHOOLS","West Virginia","5400510","HARRISON COUNTY","54033","54","26","408 E.B. SAUNDERS WAY","CLARKSBURG","WV ","26301","1370","408 E.B. SAUNDERS WAY","CLARKSBURG","WV ","26302","1370","3046243300","1-Local school district","39.276700","-80.335900","3300000","Prekindergarten","12th Grade","West Virginia","10913"
"INSTITUTIONAL EDUCATIONAL PROGRAMS","West Virginia","5400511","KANAWHA COUNTY","54039","54","22","1900 KANAWHA BLV EAST BLG 6 RM","CHARLESTON","WV ","25305","0330","CAPITOL COMPLEX BLDG 6 RM B728","CHARLESTON","WV ","25305","0330","3045581598","5-State-operated institution","38.335500","-81.613000","3400000","Prekindergarten","12th Grade","West Virginia","572"
"JACKSON COUNTY SCHOOLS","West Virginia","5400540","JACKSON COUNTY","54035","54","13","1 SCHOOL ST","RIPLEY","WV ","25271","0770","#1 SCHOOL STREET","RIPLEY","WV ","25271","0770","3043727300","1-Local school district","38.811000","-81.702200","3500000","Prekindergarten","12th Grade","West Virginia","4914"
"JEFFERSON COUNTY SCHOOLS","West Virginia","5400570","JEFFERSON COUNTY","54037","54","17","110 MORDINGTON AVE","CHARLES TOWN","WV ","25414","0987","110 MORDINGTON AVE","CHARLES TOWN","WV ","25414","0987","3047289225","1-Local school district","39.284800","-77.861500","3700000","Prekindergarten","12th Grade","West Virginia","9061"
"KANAWHA COUNTY SCHOOLS","West Virginia","5400600","KANAWHA COUNTY","54039","54","69","200 ELIZABETH ST","CHARLESTON","WV ","25311","2119","200 ELIZABETH STREET","CHARLESTON","WV ","25311","2119","3043487770","1-Local school district","38.342700","-81.613900","3900000","Prekindergarten","12th Grade","West Virginia","28378"
"LEWIS COUNTY SCHOOLS","West Virginia","5400630","LEWIS COUNTY","54041","54","6","239 COURT AVE","WESTON","WV ","26452","2002","239 COURT AVENUE","WESTON","WV ","26452","2002","3042698300","1-Local school district","39.037600","-80.464600","4100000","Prekindergarten","12th Grade","West Virginia","2624"
"LINCOLN COUNTY SCHOOLS","West Virginia","5400660","LINCOLN COUNTY","54043","54","8","10 MARLAND AVE","HAMLIN","WV ","25523","","10 MARLAND AVENUE","HAMLIN","WV ","25524","","3048243033","1-Local school district","38.283700","-82.109400","4300000","Prekindergarten","12th Grade","West Virginia","3691"
"LOGAN COUNTY SCHOOLS","West Virginia","5400690","LOGAN COUNTY","54045","54","18","506 HOLLY AVE","LOGAN","WV ","25601","0477","506 HOLLY AVENUE","LOGAN","WV ","25601","0477","3047922060","1-Local school district","37.859200","-81.990700","4500000","Prekindergarten","12th Grade","West Virginia","6271"
"MARION COUNTY SCHOOLS","West Virginia","5400720","MARION COUNTY","54049","54","21","200 GASTON AVE","FAIRMONT","WV ","26554","2739","200 GASTON AVENUE","FAIRMONT","WV ","26554","2739","3043672100","1-Local school district","39.481300","-80.146000","4700000","Prekindergarten","12th Grade","West Virginia","8036"
"MARSHALL COUNTY SCHOOLS","West Virginia","5400750","MARSHALL COUNTY","54051","54","13","2700 EAST 4TH ST","MOUNDSVILLE","WV ","26041","0578","214 MIDDLE GRAVE CREEK ROAD","MOUNDSVILLE","WV ","26041","0578","3048434405","1-Local school district","39.920500","-80.721500","4800000","Prekindergarten","12th Grade","West Virginia","4708"
"MASON COUNTY SCHOOLS","West Virginia","5400780","MASON COUNTY","54053","54","11","1200 MAIN ST","POINT PLEASANT","WV ","25550","1298","1200 MAIN STREET","POINT PLEASANT","WV ","25550","1298","3046754540","1-Local school district","38.850700","-82.136700","4900000","Prekindergarten","12th Grade","West Virginia","4312"
"MCDOWELL COUNTY SCHOOLS","West Virginia","5400810","MCDOWELL COUNTY","54047","54","11","30 CENTRAL AVE","WELCH","WV ","24801","2008","30 CENTRAL AVENUE","WELCH","WV ","24801","2008","3044368441","1-Local school district","37.440600","-81.584500","6000000","Prekindergarten","12th Grade","West Virginia","3437"
"MERCER COUNTY SCHOOLS","West Virginia","5400840","MERCER COUNTY","54055","54","26","1403 HONAKER AVE","PRINCETON","WV ","24740","3065","1403 HONAKER AVENUE","PRINCETON","WV ","24740","3065","3044871551","1-Local school district","37.366400","-81.100400","5100000","Prekindergarten","12th Grade","West Virginia","9585"
"MINERAL COUNTY SCHOOLS","West Virginia","5400870","MINERAL COUNTY","54057","54","15","1 BAKER PLACE","KEYSER","WV ","26726","2898","ONE BAKER PLACE","KEYSER","WV ","26726","2898","3047884200","1-Local school district","39.429600","-78.990600","5300000","Prekindergarten","12th Grade","West Virginia","4187"
"MINGO COUNTY SCHOOLS","West Virginia","5400900","MINGO COUNTY","54059","54","14","RT 2 BOX 310","WILLIAMSON","WV ","25661","9746","RT 2 BOX 310","WILLIAMSON","WV ","25661","9746","3042353333","1-Local school district","37.680700","-82.249200","5400000","Prekindergarten","12th Grade","West Virginia","4403"
"MONONGALIA COUNTY SCHOOLS","West Virginia","5400930","MONONGALIA COUNTY","54061","54","21","13 SOUTH HIGH ST","MORGANTOWN","WV ","26501","7546","13 SOUTH HIGH STREET","MORGANTOWN","WV ","26501","7546","3042919210","1-Local school district","39.625600","-79.959300","5600000","Prekindergarten","12th Grade","West Virginia","11192"
"MONROE COUNTY SCHOOLS","West Virginia","5400960","MONROE COUNTY","54063","54","5","WILLOW BEND RD","UNION","WV ","24983","0330","BOX 330","UNION","WV ","24983","0330","3047723094","1-Local school district","37.543800","-80.534600","5700000","Prekindergarten","12th Grade","West Virginia","1820"
"MORGAN COUNTY SCHOOLS","West Virginia","5400990","MORGAN COUNTY","54065","54","8","247 HARRISON AVE","BERKELEY SPRINGS","WV ","25410","1099","247 HARRISON AVENUE","BERKELEY SPRINGS","WV ","25411","1099","3042582430","1-Local school district","39.630800","-78.221900","5800000","Prekindergarten","12th Grade","West Virginia","2580"
"NICHOLAS COUNTY SCHOOLS","West Virginia","5401020","NICHOLAS COUNTY","54067","54","17","400 OLD MAIN DR","SUMMERSVILLE","WV ","26651","1360","400 OLD MAIN DRIVE","SUMMERSVILLE","WV ","26651","1360","3048723611","1-Local school district","38.279900","-80.856600","6200000","Prekindergarten","12th Grade","West Virginia","3956"
"OHIO COUNTY SCHOOLS","West Virginia","5401050","OHIO COUNTY","54069","54","13","2203 NATIONAL RD","WHEELING","WV ","26003","5203","2203 NATIONAL ROAD","WHEELING","WV ","26003","5203","3042430300","1-Local school district","40.044500","-80.659300","6400000","Prekindergarten","12th Grade","West Virginia","5428"
"PENDLETON COUNTY SCHOOLS","West Virginia","5401080","PENDLETON COUNTY","54071","54","4","108 WALNUT ST","FRANKLIN","WV ","26807","0888","108 WALNUT STREET","FRANKLIN","WV ","26807","0888","3043582207","1-Local school district","38.642200","-79.332500","6600000","Prekindergarten","12th Grade","West Virginia","1001"
"PLEASANTS COUNTY SCHOOLS","West Virginia","5401110","PLEASANTS COUNTY","54073","54","5","2272 NORTH PLEASANTS HWY","ST MARYS","WV ","26170","1216","1009 MAPLE STREET","ST MARYS","WV ","26170","1216","3046842215","1-Local school district","39.424100","-81.180800","6700000","Prekindergarten","12th Grade","West Virginia","1232"
"POCAHONTAS COUNTY SCHOOLS","West Virginia","5401140","POCAHONTAS COUNTY","54075","54","5","926 FIFTH AVE","MARLINTON","WV ","24954","1209","926 FIFTH AVENUE","MARLINTON","WV ","24954","1209","3047994505","1-Local school district","38.220100","-80.093700","6900000","Prekindergarten","12th Grade","West Virginia","1112"
"PRESTON COUNTY SCHOOLS","West Virginia","5401170","PRESTON COUNTY","54077","54","12","300 PRESTON DR","KINGWOOD","WV ","26537","1551","300 PRESTON DRIVE","KINGWOOD","WV ","26537","1551","3043290580","1-Local school district","39.462400","-79.681000","7000000","Prekindergarten","12th Grade","West Virginia","4583"
"PUTNAM COUNTY SCHOOLS","West Virginia","5401200","PUTNAM COUNTY","54079","54","23","9 COURTHOUSE DR","WINFIELD","WV ","25213","9347","9 COURTHOUSE DRIVE","WINFIELD","WV ","25213","9347","3045860500","1-Local school district","38.534000","-81.891700","7200000","Prekindergarten","12th Grade","West Virginia","9907"
"RALEIGH COUNTY SCHOOLS","West Virginia","5401230","RALEIGH COUNTY","54081","54","30","105 ADAIR ST","BECKLEY","WV ","25801","3733","105 ADAIR STREET","BECKLEY","WV ","25801","3733","3042564500","1-Local school district","37.784000","-81.192700","7400000","Prekindergarten","12th Grade","West Virginia","12568"
"RANDOLPH COUNTY SCHOOLS","West Virginia","5401260","RANDOLPH COUNTY","54083","54","16","40 11TH ST","ELKINS","WV ","26241","3598","40 ELEVENTH STREET","ELKINS","WV ","26241","3598","3046369150","1-Local school district","38.919500","-79.850200","7500000","Prekindergarten","12th Grade","West Virginia","4225"
"RITCHIE COUNTY SCHOOLS","West Virginia","5401290","RITCHIE COUNTY","54085","54","6","134 SOUTH PENN AVE","HARRISVILLE","WV ","26362","1370","134 S. PENN AVE.","HARRISVILLE","WV ","26362","1370","3046432991","1-Local school district","39.210800","-81.045700","7700000","Prekindergarten","12th Grade","West Virginia","1516"
"ROANE COUNTY SCHOOLS","West Virginia","5401320","ROANE COUNTY","54087","54","6","813 CAPITOL ST","SPENCER","WV ","25276","0609","108 CHAPMAN AVENUE","SPENCER","WV ","25276","0609","3049276400","1-Local school district","38.794000","-81.353700","7900000","Prekindergarten","12th Grade","West Virginia","2443"
"SUMMERS COUNTY SCHOOLS","West Virginia","5401350","SUMMERS COUNTY","54089","54","5","116 MAIN ST","HINTON","WV ","25951","2439","BOX 430","HINTON","WV ","25951","2439","3044666005","1-Local school district","37.670500","-80.890800","8100000","Prekindergarten","12th Grade","West Virginia","1596"
"TAYLOR COUNTY SCHOOLS","West Virginia","5401380","TAYLOR COUNTY","54091","54","6","82 UTT DR PRUNTYTOWN","GRAFTON","WV ","26354","1836","1 PROSPECT STREET","GRAFTON","WV ","26354","1836","3042652497","1-Local school district","39.339600","-80.031600","8300000","Prekindergarten","12th Grade","West Virginia","2423"
"TUCKER COUNTY SCHOOLS","West Virginia","5401410","TUCKER COUNTY","54093","54","3","501 CHESTNUT ST","PARSONS","WV ","26287","1005","501 CHESTNUT STREET","PARSONS","WV ","26287","1005","3044782771","1-Local school district","39.102700","-79.685500","8400000","Prekindergarten","12th Grade","West Virginia","1029"
"TYLER COUNTY SCHOOLS","West Virginia","5401440","TYLER COUNTY","54095","54","4","1993 SILVER KNIGHT DR","SISTERSVILLE","WV ","26175","0025","1993 SILVER KNIGHT ST.","MIDDLEBOURNE","WV ","26149","0025","3047582145","1-Local school district","39.519800","-80.894700","8500000","Prekindergarten","12th Grade","West Virginia","1348"
"UPSHUR COUNTY SCHOOLS","West Virginia","5401470","UPSHUR COUNTY","54097","54","10","102 SMITHFIELD ST","BUCKHANNON","WV ","26201","2620","102 SMITHFIELD ST","BUCKHANNON","WV ","26201","2620","3044725480","1-Local school district","38.987600","-80.224400","8700000","Prekindergarten","12th Grade","West Virginia","3822"
"WAYNE COUNTY SCHOOLS","West Virginia","5401500","WAYNE COUNTY","54099","54","22","212 NORTH COURT ST","WAYNE","WV ","25570","0070","212 NORTH COURT STREET","WAYNE","WV ","25570","0070","3042725116","1-Local school district","38.220300","-82.443100","8900000","Prekindergarten","12th Grade","West Virginia","7446"
"WEBSTER COUNTY SCHOOLS","West Virginia","5401530","WEBSTER COUNTY","54101","54","6","315 SOUTH MAIN ST","WEBSTER SPRINGS","WV ","26288","1187","315 SO. MAIN ST.","WEBSTER SPRINGS","WV ","26288","1187","3048475638","1-Local school district","38.475500","-80.409900","9100000","Prekindergarten","12th Grade","West Virginia","1446"
