"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"ALBANY COUNTY SCHOOL DISTRICT #1","Wyoming","5600730","ALBANY COUNTY","56001","56","17","1948 GRAND AVE","LARAMIE","WY ","82070","4317","1948 GRAND AVENUE","LARAMIE","WY ","82070","4317","3077214400","1-Local school district","41.309600","-105.570200","0101000","Prekindergarten","12th Grade","Wyoming","3827"
"BIG HORN COUNTY SCHOOL DISTRICT #1","Wyoming","5601420","BIG HORN COUNTY","56003","56","6","99 SOUTH DIVISION","COWLEY","WY ","82420","0688","P.O. BOX 688","COWLEY","WY ","82420","0688","3075482254","1-Local school district","44.882000","-108.469300","0201000","Prekindergarten","12th Grade","Wyoming","1024"
"BIG HORN COUNTY SCHOOL DISTRICT #2","Wyoming","5601460","BIG HORN COUNTY","56003","56","3","502 HAMPSHIRE AVE","LOVELL","WY ","82431","1613","502 HAMPSHIRE AVENUE","LOVELL","WY ","82431","1613","3075482259","1-Local school district","44.836900","-108.401800","0202000","Kindergarten","12th Grade","Wyoming","692"
"BIG HORN COUNTY SCHOOL DISTRICT #3","Wyoming","5603170","BIG HORN COUNTY","56003","56","3","636 14TH AVE NORTH","GREYBULL","WY ","82426","1537","636 14TH AVENUE NORTH","GREYBULL","WY ","82426","1537","3077654756","1-Local school district","44.503800","-108.056600","0203000","Kindergarten","12th Grade","Wyoming","521"
"BIG HORN COUNTY SCHOOL DISTRICT #4","Wyoming","5601090","BIG HORN COUNTY","56003","56","4","416 SOUTH 3RD ST","BASIN","WY ","82410","0151","P.O. BOX 151","BASIN","WY ","82410","0151","3075682684","1-Local school district","44.378000","-108.037500","0204000","Kindergarten","12th Grade","Wyoming","291"
"CAMPBELL COUNTY SCHOOL DISTRICT #1","Wyoming","5601470","CAMPBELL COUNTY","56005","56","21","1000 WEST 8TH ST","GILLETTE","WY ","82717","3033","P.O. BOX 3033","GILLETTE","WY ","82717","3033","3076825171","1-Local school district","44.287500","-105.517300","0301000","Prekindergarten","12th Grade","Wyoming","8826"
"CARBON COUNTY SCHOOL DISTRICT #1","Wyoming","5601030","CARBON COUNTY","56007","56","7","615 RODEO","RAWLINS","WY ","82301","0160","615 RODEO","RAWLINS","WY ","82301","0160","3073289200","1-Local school district","41.794000","-107.230800","0401000","Kindergarten","12th Grade","Wyoming","1876"
"CARBON COUNTY SCHOOL DISTRICT #2","Wyoming","5601700","CARBON COUNTY","56007","56","7","315 NORTH 1ST ST","SARATOGA","WY ","82331","1530","P.O. BOX 1530","SARATOGA","WY ","82331","1530","3073265271","1-Local school district","41.456800","-106.807700","0402000","Kindergarten","12th Grade","Wyoming","652"
"CATHEDRAL HOME FOR CHILDREN - ADMINISTRATION OFFICE","Wyoming","5600009","ALBANY COUNTY","56001","56","1","4989 NORTH 3RD ST","LARAMIE","WY ","82073","0520","P.O. BOX 520","LARAMIE","WY ","82073","0520","3077458997","5-State-operated institution","41.328000","-105.591800","0170000","4th Grade","12th Grade","Wyoming","0"
"CONVERSE COUNTY SCHOOL DISTRICT #1","Wyoming","5602140","CONVERSE COUNTY","56009","56","10","615 HAMILTON ST","DOUGLAS","WY ","82633","2615","615 HAMILTON ST","DOUGLAS","WY ","82633","2615","3073582942","1-Local school district","42.750900","-105.379200","0501000","Kindergarten","12th Grade","Wyoming","1742"
