"ZIPCode","State","City","County","StateFIPS","CountyFIPS","Latitude","Longitude","Preference","Type"
"2801","RI","Adamsville","Newport","44","5","41.54","-71.14","A","POB"
"2802","RI","Albion","Providence","44","7","41.95","-71.46","A","POB"
"2804","RI","Ashaway","Washington","44","9","41.43","-71.78","A","GD"
"2806","RI","Barrington","Bristol","44","1","41.74","-71.32","A","GD"
"2807","RI","Block Island","Washington","44","9","41.18","-71.58","A","POB"
"2808","RI","Bradford","Washington","44","9","41.4","-71.75","A","GD"
"2809","RI","Bristol","Bristol","44","1","41.68","-71.27","A","GD"
"2812","RI","Carolina","Washington","44","9","41.47","-71.66","A","GD"
"2813","RI","Charlestown","Washington","44","9","41.39","-71.67","A","GD"
"2814","RI","Chepachet","Providence","44","7","41.9","-71.69","A","GD"
"2815","RI","Clayville","Providence","44","7","41.78","-71.67","A","GD"
"2816","RI","Coventry","Kent","44","3","41.69","-71.58","A","GD"
"2817","RI","West Greenwich","Kent","44","3","41.63","-71.66","A","GD"
"2818","RI","East Greenwich","Kent","44","3","41.65","-71.48","A","GD"
"2822","RI","Exeter","Washington","44","9","41.57","-71.61","A","GD"
"2823","RI","Fiskeville","Providence","44","7","41.73","-71.55","A","POB"
"2824","RI","Forestdale","Providence","44","7","42","-71.56","A","POB"
"2825","RI","Foster","Providence","44","7","41.78","-71.72","A","GD"
"2826","RI","Glendale","Providence","44","7","41.97","-71.64","A","POB"
"2827","RI","Greene","Kent","44","3","41.7","-71.73","A","GD"
"2828","RI","Greenville","Providence","44","7","41.87","-71.55","A","GD"
"2829","RI","Harmony","Providence","44","7","41.88","-71.59","A","POB"
"2830","RI","Harrisville","Providence","44","7","41.97","-71.65","A","GD"
"2831","RI","Hope","Providence","44","7","41.74","-71.57","A","GD"
"2832","RI","Hope Valley","Washington","44","9","41.51","-71.72","A","GD"
"2833","RI","Hopkinton","Washington","44","9","41.48","-71.79","A","GD"
"2835","RI","Jamestown","Newport","44","5","41.51","-71.38","A","GD"
"2836","RI","Kenyon","Washington","44","9","41.45","-71.62","A","GD"
"2837","RI","Little Compton","Newport","44","5","41.51","-71.16","A","GD"
"2838","RI","Manville","Providence","44","7","41.97","-71.48","A","GD"
"2839","RI","Mapleville","Providence","44","7","41.95","-71.65","A","GD"
"2840","RI","Newport","Newport","44","5","41.49","-71.31","A","GD"
"2841","RI","Newport","Newport","44","5","41.51","-71.33","A","GD"
"2842","RI","Middletown","Newport","44","5","41.52","-71.29","A","GD"
"2852","RI","North Kingstown","Washington","44","9","41.6","-71.45","A","GD"
"2857","RI","North Scituate","Providence","44","7","41.84","-71.63","A","GD"
"2858","RI","Oakland","Providence","44","7","41.96","-71.65","A","GD"
"2859","RI","Pascoag","Providence","44","7","41.97","-71.73","A","GD"
"2860","RI","Pawtucket","Providence","44","7","41.87","-71.39","A","GD"
"2861","RI","Pawtucket","Providence","44","7","41.88","-71.35","A","GD"
"2862","RI","Pawtucket","Providence","44","7","41.87","-71.37","A","POB"
"2863","RI","Central Falls","Providence","44","7","41.89","-71.39","A","GD"
"2864","RI","Cumberland","Providence","44","7","41.95","-71.42","A","GD"
"2865","RI","Lincoln","Providence","44","7","41.91","-71.44","A","GD"
"2871","RI","Portsmouth","Newport","44","5","41.6","-71.26","A","GD"
"2872","RI","Prudence Island","Bristol","44","1","41.61","-71.32","A","POB"
"2873","RI","Rockville","Washington","44","9","41.52","-71.77","A","POB"
"2874","RI","Saunderstown","Washington","44","9","41.52","-71.46","A","GD"
"2875","RI","Shannock","Washington","44","9","41.45","-71.64","A","GD"
"2876","RI","Slatersville","Providence","44","7","42","-71.58","A","GD"
"2877","RI","Slocum","Washington","44","9","41.54","-71.53","A","GD"
"2878","RI","Tiverton","Newport","44","5","41.62","-71.18","A","GD"
"2879","RI","Wakefield","Washington","44","9","41.42","-71.53","A","GD"
"2880","RI","Wakefield","Washington","44","9","41.42","-71.48","A","POB"
"2881","RI","Kingston","Washington","44","9","41.48","-71.53","A","GD"
"2882","RI","Narragansett","Washington","44","9","41.43","-71.46","A","GD"
"2883","RI","Peace Dale","Washington","44","9","41.45","-71.5","A","POB"
"2885","RI","Warren","Bristol","44","1","41.73","-71.27","A","GD"
"2886","RI","Warwick","Kent","44","3","41.71","-71.46","A","GD"
"2887","RI","Warwick","Kent","44","3","41.7","-71.42","A","POB"
"2888","RI","Warwick","Kent","44","3","41.75","-71.41","A","GD"
"2889","RI","Warwick","Kent","44","3","41.71","-71.39","A","GD"
"2891","RI","Westerly","Washington","44","9","41.36","-71.81","A","GD"
"2892","RI","West Kingston","Washington","44","9","41.5","-71.58","A","GD"
"2893","RI","West Warwick","Kent","44","3","41.7","-71.52","A","GD"
"2894","RI","Wood River Junction","Washington","44","9","41.44","-71.7","A","GD"
"2895","RI","Woonsocket","Providence","44","7","42","-71.51","A","GD"
"2896","RI","North Smithfield","Providence","44","7","41.98","-71.55","A","GD"
"2898","RI","Wyoming","Washington","44","9","41.52","-71.68","A","GD"
"2901","RI","Providence","Providence","44","7","41.83","-71.41","A","POB"
"2902","RI","Providence","Providence","44","7","41.83","-71.41","A","PVT"
"2903","RI","Providence","Providence","44","7","41.82","-71.41","A","GD"
"2904","RI","Providence","Providence","44","7","41.86","-71.43","A","GD"
"2905","RI","Providence","Providence","44","7","41.79","-71.4","A","GD"
"2906","RI","Providence","Providence","44","7","41.84","-71.39","A","GD"
"2907","RI","Providence","Providence","44","7","41.8","-71.42","A","GD"
"2908","RI","Providence","Providence","44","7","41.84","-71.44","A","GD"
"2909","RI","Providence","Providence","44","7","41.82","-71.45","A","GD"
"2910","RI","Cranston","Providence","44","7","41.78","-71.44","A","GD"
"2911","RI","North Providence","Providence","44","7","41.85","-71.47","A","GD"
"2912","RI","Providence","Providence","44","7","41.83","-71.4","A","PVT"
"2914","RI","East Providence","Providence","44","7","41.81","-71.37","A","GD"
"2915","RI","Riverside","Providence","44","7","41.77","-71.35","A","GD"
"2916","RI","Rumford","Providence","44","7","41.84","-71.35","A","GD"
"2917","RI","Smithfield","Providence","44","7","41.9","-71.52","A","GD"
"2918","RI","Providence","Providence","44","7","41.82","-71.42","A","PVT"
"2919","RI","Johnston","Providence","44","7","41.82","-71.5","A","GD"
"2920","RI","Cranston","Providence","44","7","41.77","-71.47","A","GD"
"2921","RI","Cranston","Providence","44","7","41.76","-71.51","A","GD"
"2940","RI","Providence","Providence","44","7","41.82","-71.42","A","POB"
